"","x"
"35","5 yrs ago today, an earthquake devastated #Haiti. Here is how we're helping rebuild/recover: http://t.co/3yG3WoYkmb http://t.co/EsuVpqDdv3"
"36","In the past 5 years, you have helped rebuild #Haiti’s medical capacity. Learn how: http://t.co/gY3Dxf17II http://t.co/YSjbRq9f0P"
"37","Find out how the #RedCross helped nearly 150 people in 21 shelters last night: http://t.co/sydRAuNnP7 http://t.co/HRXqaYIqFv"
"38","One woman's quest to ensure houses in #Haiti better withstand #earthquakes &amp; hurricanes.
https://t.co/JNPKKEVYqd"
"39","Top 10 cold weather safety tips from the #RedCross: http://t.co/sx8ofmboQZ"
"40","Dear Lady Edith. We have some #firesafety tips for you (and everyone else): http://t.co/vKJLJyutLu #DowntonAbbey http://t.co/YHc9b752Rv"
"41","New home = new hope. Read a story of recovery from the Haiti earthquake,5 yrs in the making: http://t.co/RHOT7TAIqE
https://t.co/uViJzd5Avc"
"42","Looking for #Resolutionsfor2015?  How about one (or all three) of these #RedCross suggestions: http://t.co/3uqlJTtcvo"
"43","With your support, families facing their darkest hour will not be left alone. http://t.co/eQbbZjkH06 http://t.co/MUn0NUOsQS"
"44","Ft. Bliss is one example of how #RedCross provides services to the military &amp; supports troops after returning home.
https://t.co/jBiGxSbY4s"
"45","Read how Red Cross Red Crescent responded to one of the largest disasters: http://t.co/gEr3YOoanG #Tsunami10years"
"46","Happy Holidays to you and yours! http://t.co/eYNOFZYHRF http://t.co/VBfo0h7QX2"
"47","Switch on the holiday cheer, but switch off the oven! #firesafety
https://t.co/PLvLmSUP4G"
"48","We've never had more fun getting ready for holiday travel: http://t.co/VpNelnS1x1 http://t.co/a0VCyOs5sm"
"49","Stay safe w/ our 12 days of holiday safety tips: http://t.co/I75uPIN0oV"
"50","Do you leave lit candles unattended? Hapless Hillary helps show what not to do this holiday season: http://t.co/lqtWuHt1xC #firesafety"
"51","Do YOU know how to protect yourself from the flu? http://t.co/WNXmc7IA4E http://t.co/tOMuTGmgQL"
"52","#Fires, #Storms, #Earthquakes, #Tornadoes, #Mudslides #2014in5words https://t.co/RNtw8uw9L3"
"53","The #RedCross helped more ppl affected by home fires than all other disasters combined in 2014 http://t.co/ukzUQxjffc http://t.co/wp3HxJi4VJ"
"54","Do you know how to keep your pets safe during the holiday season? http://t.co/3fIDd8iG6M http://t.co/aIXB3qRtGJ"
"55","Think you know how to stay safe in the kitchen &amp; around holiday decorations? Find out! http://t.co/kW8LnMQYxM http://t.co/rV5m3cOqu7"
"56","Make the holiday season safer w/#RedCross first aid/CPR online training. Save 20% thru 12/31: http://t.co/t0DkRsy6qq http://t.co/FVqVWD3G91"
"57","See how @RedCross is using @AmazonSmile donations to help people after disasters: http://t.co/TZDGMsMiVw"
"58","“We're snuggled up together like two birds of a feather would be.” http://t.co/eFKwp62FBa #TogetherSweater http://t.co/heYSRN9Gvw"
"59","Afraid of needles? Grab a friend for support &amp; give blood this season: http://t.co/LcckMoOcfI #TogetherSweater http://t.co/n8hxsxjVQf"
"60","[TIPS] Stay safe w/these tips while the power is out. #BayAreaStorm http://t.co/hqVI2spRub http://t.co/09CuovNTPK"
"61","But that could NEVER happen to me! Read about a Red Crosser's 1st fire alarm experience: http://t.co/Wj0NICZIMZ http://t.co/XcLsNDf9NN"
"62","@esq2000gmailcom Hi Laurie, thanks for reaching out, we sent a DM to connect so we can talk further!"
"63","If the weather outside is frightening, stay inside &amp; brush up on #RedCross fire safety tips! http://t.co/zl5KZf11gZ http://t.co/dGVZb9WeVt"
"64","@victoriavaneyk can you follow us so we can DM you with more details?"
"65","#RedCross-trained everyday heroes in Colombia rushed in after a mine collapse: http://t.co/oUVHhMmV68 http://t.co/ulTONCS2gZ"
"66","Make the holiday season safer w/#RedCross first aid/CPR online training. Save 20% thru 12/31: http://t.co/t0DkRsy6qq http://t.co/EcYgAeNBFt"
"67","""Fight fire w/ fire"" + other (un)helpful #firesafety tips, courtesy of #TheMindyProject: http://t.co/fDFopJaNYL cc @MindyProjectFOX"
"68","A hot meal provides comfort for those who have been through a disaster.  #GivingTuesday https://t.co/TC5wKDYZHm"
"69","@DreamUpJustice Wow! Thanks for donating blood today! http://t.co/lqPtmN716E"
"70","Meet the young philanthropist who had celebrities star struck on #GivingTuesday: http://t.co/3XI3EFxsuB https://t.co/zGUriwMNXG"
"71","@rustbeltrants thanks for donating blood today! http://t.co/a7OiBGcml8"
"72","@therealjpiff Thank you for donating! http://t.co/DzCeo0zHR0"
"73","Thank you @MazdaUSA  &amp; its dealers for the generous support of our mission this holiday season! http://t.co/G2fUtLHTAq"
"74","Help support our military by providing comfort kits on #GivingTuesday: http://t.co/jiML0d6us1 #givewithmeaning http://t.co/gq1QOKWoeT"
"75","Check this out: donate today using #visacheckout &amp; @visa will donate $15: http://t.co/qfE8wQh2LG #GivingTuesday http://t.co/L49HDyJCXl"
"76","We've teamed up w/@bitly to create http://t.co/ybQ1b5EK88, a new way to combine sharing &amp; caring!  #GivingTuesday
https://t.co/hd5p2vWt8M"
"77","@chugs54 Thank you so much for your donation! http://t.co/BsVpfACOP2"
"78","Thank you @Target for supporting us this holiday season &amp; our blanket needs for disasters! #GivingTuesday http://t.co/6yjBJt706K"
"79","@HoJo1983 Thank you for donating today! http://t.co/davgGofvTA"
"80","You can provide warm, cozy blankets to protect people from the cold this #GivingTuesday https://t.co/qRiLvzBiAl"
"81","@ImBrentJames Thanks for donating!! Every ""bit"" helps. :) http://t.co/Oo8U5KPLtt"
"82","Want to see what a hero looks like? Meet @SophiaGreenwalt http://t.co/HLfEQluBId #GivingTuesday #givewithmeaning http://t.co/INvNZSQjyg"
"83","@BrendanKPatrick thanks for your speedy blood donation on #GivingTuesday (cc: @BostonCollege)! http://t.co/ghyyyR2qDL"
"84","@PatrickNLeon Thank you for your donation! http://t.co/xwbsNfPEYf"
"85","Thank you @FedExOffice for your longtime support of Disaster Relief. #GivingTuesday http://t.co/Ui1L57EPwm"
"86","A full day in a shelter provides a place to sleep, hot food &amp; a ((hug)): http://t.co/gOTPlkREFe #GivingTuesday http://t.co/XJPIgKiQAT"
"87","Make your donation to @RedCross go further when you use @VisaCheckout! http://t.co/pNNsoYQZw6 #GivingTuesday http://t.co/VDhsmzSXcr"
"88","Happy #GivingTuesday! We’ll be sharing stories about the impact of your giving &amp; hope you’ll #GiveWithMeaning today! http://t.co/ggP1suOjmK"
"89","A look at #RedCross reproductive health &amp; HIV prevention programs in Tanzania: http://t.co/4RnIFM9Jyo #WorldAIDSDay http://t.co/tllwVO0LGJ"
"90","We're talking about #Socialmedia and #GivingTuesday and how tweets make a difference, join the conversation here: http://t.co/jKtnoYEd5h"
"91","REVIEW: See what one 8 year old thinks about the new #MonsterGuard app: http://t.co/lfbQ4I3WoF http://t.co/fuTsHMotOZ"
"92","What's your #1 winter weather safety tip? We've got you covered at home &amp; on the road:http://t.co/kOlh14vf0S http://t.co/RscMMDsFSF"
"93","Just released: New #RedCross survey results show how friends affect your holiday giving: http://t.co/E2lrma9DNL http://t.co/mWFoV9ojJa"
"94","@jane_s_caldwell Hi. Please DM us your phone number."
"95","Do you have special plans for pets when winter weather arrives?: http://t.co/kOlh14vf0S http://t.co/KNLOJPljnF"
"96","It. Is. Cold! Prepare yourself for cold weather w/these tips: http://t.co/OGNBujVXw1 #RedCross http://t.co/52EEsyVzxo"
"97","Headed to @target today?  Grab an item from the #TomsForTarget collection and support the #RedCross! http://t.co/JoaDu6mblu"
"98","@yasminob hi please DM us your email address and contact number so we can have your name removed from the call list. thx."
"99","About $1=protects a child against #measles in developing countries, yet 21.5M missed out in 2013. @MeaslesRubella http://t.co/y5FSyTl1tH"
"100","Don't forget to get your #flushot! http://t.co/cjRk6t0s8A http://t.co/pHFlnCMLuB"
"101","@keithalamb hi keith, could you DM us so we can get your name removed?"
"102","Using a space heater to heat your home? Here's how to do it safely: http://t.co/WbNytew57w http://t.co/T1zspr2EaE"
"103","#ThankYOU to our veterans who have served &amp; continue to serve: http://t.co/B247YlGBd4 #VeteransDay #VetsRising http://t.co/mjFqAFdEuK"
"104","Did you know Red Cross teams deploy w/ the military? Get a closer look as a team prepares for a Kuwait tour: http://t.co/bWZlBdXIX4"
"105","We're mapping the most vulnerable places in the world w/@TheMissingMaps project. See how you can help: http://t.co/2QcYigcMzN"
"106","Help your kids prepare for emergencies with #MonsterGuard, our new app: http://t.co/BLLii8ECbG http://t.co/kvHyvhahkE"
"107","Test your knowledge &amp; see if you are #firesafety savvy: http://t.co/yglooyVEMq http://t.co/S6dE9PtheF"
"108","Could your family escape a home fire? http://t.co/u3ZNVOMMDG #firesafety http://t.co/Qu7tu4mola"
"109","Have you ever used space heaters, fireplaces, or coal/wood stoves to stay warm at home? Tips: http://t.co/fJkUUFxjsZ http://t.co/mGOSBpLnmv"
"110","RT if you turned back your clock and tested your smoke alarm batteries for #DaylightSaving time.  #TurnandTest #firesafety"
"111","Don't forget to turn back your clock+test your smoke alarm! http://t.co/PY6M4VgzX7 #TurnandTest http://t.co/2cixzKrwcC"
"112","Happy #Halloween! Stay safe w/ these tips: http://t.co/0Y6BMtnQVs https://t.co/mzqrM2ehEN"
"113","You have two minutes to escape your burning home. Do you have a #gameplan to get out safely? http://t.co/juCDSt90A5 http://t.co/THrOqRRItE"
"114","Yes, we're #vampires, but what do we do w/ your #blood after you donate? Find out here! http://t.co/AoNgoUrjLC http://t.co/1QClpZ2eLS"
"115","Two years later, volunteers are still helping people recover from Hurricane #Sandy: http://t.co/k3blfb9rwB http://t.co/swZqGwy6Cm"
"116","Every 8 mins #RedCross responds to a home fire. Be prepared: http://t.co/fxW1XTYLcK #firesafety http://t.co/q39jJddoyU"
"117","Meet Pascal - he had been helped by the #RedCross and now wants to give back by volunteering. http://t.co/9ckTojr8Wt http://t.co/L4ftrlfb8U"
"118","After #ShakeOut2014 we're reflecting on #LomaPrieta #CA - 25 years later: http://t.co/oxNrfSoTwl http://t.co/O0mSBqNeaH"
"119","Did you know the #RedCross app can tell you where an earthquake happened: http://t.co/tVeoq367YN  #ShakeOut http://t.co/38P0V3VMWN"
"120","Participating in the Great #ShakeOut? Use our app to get informed and stay prepared: http://t.co/tVeoq367YN http://t.co/KzMBLUGZIA"
"121","It’s time to “Drop, Cover and Hold On!” Practice your drill tomorrow: http://t.co/pASzM2mU0u
#ShakeOut http://t.co/FBgoojLE2Q"
"122","Learn what to do during an #earthquake &amp; how to prepared for one. Join Earthquake Safety TweetChat. Today @ 3pm ET. #EQChat"
"123","Find out how a newly installed smoke detector saved this woman's life: http://t.co/EZmoeUrLDw #firesafety http://t.co/biub4k3hla"
"124","How can #videogames can educate players about the @rulesofwar? Join the discussion today: http://t.co/LjTxDbA0x7 #roleplayingIHL"
"125","Do you know what to do when a #Tornado warning is issued for your area? Download our app: http://t.co/Sb5Hc1W5ts http://t.co/utaCKJo2RV"
"126","On average 7 ppl die/day from a home fire. We want to lower that number: http://t.co/rhrGuPSma7 #FireSafety http://t.co/kiC1WwEUd9"
"127","@ren5r Thank you for donating!"
"128","What do you do when you hear a fire alarm? A. Panic. B. Escape. C. Dance? http://t.co/90KyvWHRVF #firesafety"
"129","[VIDEO} Could you and your family survive a home fire?  @RedCross and @todayshow put one family to the test: http://t.co/SoiEil1lHf"
"130","7 tips on how to protect yourself + family from #Enterovirus &amp; #Flu http://t.co/U8NTkYV3q7 #abcDRBchat"
"131","Questions about #cold, #flu or #enterovirus? Join today's #abcDRBchat 2day @ 1PM ET &amp; get answers from @DisasterProf &amp; other experts!"
"132","No matter what you're facing, remember: You &gt; Any Disaster:http://t.co/J9mWX43hPD http://t.co/Spm1tpyxLq"
"133","@CallMeJace Please DM us your email address and we can see if we can help."
"134","@elburkho Hi! You can find your local chapter here &amp; call and ask if times are not available online:http://t.co/8MgGk7qFzk that helps!"
"135","Stay prepared all year long w/our ""Get Prepared"" Pinterest board: http://t.co/dbajmHqSl0 #NatlPrep #NPM14"
"136","Concerned about #Enterovirus or the #flu? Tips on preventing the spread of #disease http://t.co/B5GhJPTMUD http://t.co/GmAYknyev6"
"137","We're working w/ Colombian #RedCross to provide #Firstaid + #Disaster Prep to underserved communities: http://t.co/YjEoXANYFJ"
"138","The global #RedCross network opens an #Ebola treatment center in Sierra Leone. Read more: http://t.co/1oRpSqdWJN http://t.co/RS5CQPweR4"
"139","Nilda Navedo and her sister have a story to share for #SickleCell Awareness Month: http://t.co/3XHIjpCGv0 #giveblood http://t.co/bmd7AbOmt3"
"140","Clarence Barton loves jumping in colorful piles of leaves. What are YOU excited about on the #FirstDayofFall? http://t.co/3mzzXYARZz"
"141","How the #RedCross is responding to #wildfires in the west. http://t.co/FjVZLqRlE5 #KingFire http://t.co/Vukg5Qlait"
"142","Clarence Barton has already started collecting badges and team members with the new #RedCrossBloodApp: http://t.co/HldXbRefO4"
"143","Are you prepared when disaster strikes? Tune in as we talk about #NatlPrep w/@weatherchannel during @wakeupwithal at 6:10a ET today!"
"144","If you have to evacuate your home, make sure you grab these items in addition to your emergency kit. #NatlPrep http://t.co/FozhtqXh3V"
"145","With flooding in the southwest, make sure you know the facts about floods &amp; how to prepare: http://t.co/HAXuzX1A4S http://t.co/T7KYXypfBV"
"146","To check on loved ones in #Baja impacted by #Odile, contact State Department’s Overseas Citizen Services at 1-888-407-4747"
"147","Wildfires? Floods? Hurricanes? Download #RedCross apps and prepare for disasters: http://t.co/hGx5blztkx #NatlPrep http://t.co/S7FuxA2bAu"
"148","#DidYouKnow More than 1.6 million people came to donate blood or platelets w/#RedCross this summer. http://t.co/26r6SuLBRN"
"149","Celebrating 20 years of ""Getting Things Done"" w/ @AmeriCorps: http://t.co/1vWcAnbinf  #AmeriCorps20"
"150","@sweinhaus @BIDMChealth @RedSox Thanks for donating!"
"151","@mariatucker1 Please DM us your email address so we can help you resolve this issue. Thanks."
"152","Today, we remember those we lost, and honor all who stood to lend a helping hand. #911Anniversary #NeverForget"
"153","You know what the hottest new #iPhone accessory is? The new #RedCrossBloodApp: http://t.co/ZZf0dG2MbQ http://t.co/wPX0s5Sz7N"
"154","We're excited to introduce the #RedCrossBloodAppp! Join a team, track your pints, and #SaveALife: http://t.co/qpr1nh8pOn"
"155","@CarrieCamillo Search ""Red Cross Blood"" in your app store."
"156","The #RedCrossBloodApp is here!  Download &amp; start saving lives today: http://t.co/ZZf0dG2MbQ http://t.co/6eO8lC3t0q"
"157","How #RedCross continues to work w/ local partners to help those affected by #haiyan: http://t.co/NWlnLVNwMT http://t.co/t0kCeieQw5"
"158","@theFoxCastle would you be interested in becoming a blood drive host in your area?  Let us know!"
"159","Big announcement coming this Tuesday!  #staytuned for more details!"
"160","@wwandco hi william here is a link to get more info on classes in your area: http://t.co/Ssj8okM81L.   thanks for reaching out!"
"161","For #NatlPrep talk to your kids and make sure they know what to do when severe weather hits. http://t.co/8ALPyBzDhA"
"162","The #RedCross has been helping people create recovery plans after the #NapaQuake: http://t.co/EsqNEcx8gL"
"163","@mjack96 can you DM us your email address so we can assist with getting your name removed from the call list?"
"164","Grilling today? Save a hot dog for us &amp; remember these Red Cross safety tips: http://t.co/G6KcVPCxUj http://t.co/is7M4Aq7MC"
"165","Whether you'll be in, on, or around water this holiday weekend, these Red Cross tips will help keep you safe: http://t.co/l5fBCh22yl"
"166","Know what the 5 basic #swimming skills are and how to do them? http://t.co/9GWHvCNMcE "
"167","@DexterFowler thanks again for hosting the blood drive 2day with @RedCrossBloodSW u knocked it out the park!  #FowlersHowlers"
"168","Rip current risk will be high this #weekend. Know what to do: http://t.co/7PjyLot8J4 #Cristobal http://t.co/hp20auDvAr"
"169","What does an American Red Cross deployed disaster specialist do in Iraq? Q&amp;A w/ Stacy Ragan: http://t.co/sbycqiJwK4 http://t.co/xhKKMUEPxk"
"170","Take a minute and paws to download the Pet First Aid app for #NationalDogDay: http://t.co/TchEItScOI http://t.co/gZjNh0Vuz2"
"171","@Mitchdwhitaker hi mitch you can contact them at 1-800-733-2767 for assistance."
"172","Neutrality, Impartiality + Humanity guide volunteers from Israel's Magen David Adom and the Palestine Red Crescent http://t.co/hjkQTVOikv"
"173","Urgent need for blood donors. Go to http://t.co/RzXX7atTTy, and #chooseyourday to donate. http://t.co/TdkcxjPFa5"
"174","Cold drinks, snacks, and celeb mags. Day at the beach? Nope, just giving #Blood! https://t.co/k89ehR2EBC"
"175","Current #RedCross response to #carltoncomplexfire in #WA + #wildfire safety tips: http://t.co/nNz4alsWUp"
"176","We took the pledge to #poolsafely this summer and you should too! http://t.co/h8kwXMeNY9 http://t.co/fkkkSKs5yr"
"177","This week, your online shopping trip can help us in our efforts to serve our troops: http://t.co/XAqdebVV4p"
"178","@4bes5 ms. forbes @pmmacias from our #RedCross Services to Armed Forces team is trying to connect regarding your request, please DM him."
"179","Check out our 100 Days of Summer Songs playlist @spotify: http://t.co/p23pCRRLCv #ChooseYourDay http://t.co/y1akgy8KLM"
"180","Prepare for Tropical Storm Arthur w/our #RedCross hurricane app http://t.co/Z7mCbgHOrJ &amp; other tips: http://t.co/ibCTUnsB5M"
"181","Help us reach our GOALLLL of helping to save lives and SCORE this free t-shirt!  http://t.co/JB1P2JqBGs #worldcup http://t.co/lYrNLOTnqq"
"182","#Sandy facts: 17 million meals, 7 million relief items, millions of lives touched: http://t.co/3WkZNa01Zg http://t.co/TWLu3TXhJv"
"183","It’s no secret. When the need was great during #Sandy, with your help, we were there. #Sandy response numbers: http://t.co/3WkZNa01Zg  "
"184","Can lightning really strike twice?  Separate the myths from the facts with our #lightning safety tips! http://t.co/mgWBtU6Gsa"
"185","Guess who stopped by to lend a hand to our Rocktar #RedCrossers in #Pilger?  It's @bretmichaels! http://t.co/mNXvp30uEZ"
"186","Whats your favorite summer song?  Tweet it using #MySummerSong and look for our summer playlist coming soon! http://t.co/g51sEpvq8n"
"187","Happy First Day of Summer! #ChooseYourDay to give blood and potentially save lives: http://t.co/JB1P2JqBGs http://t.co/wQCiWOSUa9"
"188","Did you know the World's Largest #Swim Lesson was today? Thank you to @TheWLSL for getting kids trained!"
"189","#SickleCell survivor Marquita Gaines shares what your blood donations mean to her: http://t.co/d6vFBUopjs  #WorldSickleCellDay"
"190","MT @neiaredcross: Our hearts go out to affected in #Pilger, NE. #RedCross volunteers responding. follow for updates. #newx"
"191","Thanks to everyone who donated blood today before the #USAvGhana game for helping us reach our GOAAALLLLLL of saving lives!"
"192","Recreating the #WorldCup with a little office soccer? Our #RedCross first aid app has you covered: http://t.co/YCTCl9wO2Y  #USAvGHA"
"193",".@Whitehouse initiative promotes new ideas &amp; innovation to build resiliency in communities after disasters: http://t.co/8Tw71dBh7x"
"194","#HappyFathersDay to all of the dads in our #RedCross family, today is your day, enjoy it! http://t.co/zkogAvvTen"
"195","#WorldBloodDonorDay is a great time to #givehope! #ChooseYourDay here: http://t.co/ximhZsjXi5 http://t.co/a7wivH22jn"
"196","Is your child taking #summer swmming lessons? Our new #swim app http://t.co/TRg6n3ydDK helps track progress &amp; more! http://t.co/AQf3v0AJsL"
"197","#Soccer: Universal + Global, just like #RedCross. Good luck to @ussoccer during the #WorldCup http://t.co/x3f8lTq4BB #USA"
"198","Get lifesaving disaster &amp; emergency info w/ @redcross apps, NOW available in #Spanish. http://t.co/SjzffFpWTy http://t.co/QwgiyAyUhz"
"199","Blood donation recipient @NikiTaylorInc visits @AMHQ with @SamChampion today at 9:40AM EST!  Tune in! http://t.co/kaPRmZXCOx"
"200","@FeliciaSueLynn thanks for including us and for your analysis of our social program!  Great work!"
"201","The kids are almost out of school, here's some tips to make sure they have a safe summer: http://t.co/hixUWpEX51"
"202","{BLOG] Going swimming with the family this #summer? Watch out for sharks in your pool:  http://t.co/XVumDNFJKj"
"203","#SelfieSaturday: Headed to #giveblood today? Take a #selfie with hashtag #ChooseYourDay &amp; say cheese! http://t.co/rnBOdMJ1Z2"
"204","[PHOTO] Red Cross workers land on the beach in France (1944) #DDay70 http://t.co/V6qEEEtlO8"
"205","#tbt swimming edition. To see if there are lessons in your area: http://t.co/rwKf2yTVCn http://t.co/HPwFeNETig"
"206","@jessickaaimee20 hi jessicka, have you contacted your local #RedCross chapter in your area?"
"207","@jasonenright hey jason you ARE a superhero!  Thanks for being a blood donor :)"
"208","@KelseyFireheart thanks kelsey!  We were so happy to be able to assist you when you needed us!"
"209","COMING SOON to a neighborhood near you: @RedCross BLOODMOBILES! http://t.co/JB1P2JqBGs #ChooseYourDay http://t.co/nx7wGLMZS1"
"210","@CeeScara send us a DM with your email address so we can assist."
"211","@NathanEmpsall can you send us a DM with your email address so we can check into this for you?"
"212","Know what to do if your area is expected to get #severe damaging winds today. Stay safe! http://t.co/UgI1gkkUpo"
"213","@MissCali2you sorry to hear that, can you send us a DM with your email address so we can connect with you to get your duplicate card?"
"214","#Hurricane season starts today, get prepared by separating the MYTHS from the FACTS #HurricanePrep http://t.co/jGN6ZVWXYa"
"215","Every 2 secs this summer someone will need a blood donation, #ChooseYourDay to help: http://t.co/ximhZsjXi5 http://t.co/7We4k9ykkr"
"216","A story honoring Grandpa's #WWII service this #MemorialDay http://t.co/jOuN9JYOkq - Thx to all #military members for your service"
"217","Headed to the pool this #MemorialDay weekend?  Here's a quick swimming lesson: http://t.co/FSUxoCyvZZ"
"218","SPOTTED: #NASCAR driver @gbiffle taking a quick pit stop @roushfenway to #giveblood today!  #ImProud2Give http://t.co/lo1nMSpD68"
"219","One year later: Oklahoma. Your support has done so much to help people recover. Thank you. http://t.co/jcCBw0T8v6"
"220","[ VIDEO} Our friends from @redcrossny offer tips on preparing for a #Godzilla attack: http://t.co/njxLhEE3Nu #FunFriday"
"221","You have 5 minutes to evacuate your home. What do you grab?  http://t.co/QMDWXYWMUv #wildfire #preparedness"
"222","@Taylormauri__ hi taylor, sorry to hear about this can you shoot us a DM letting you know which location you are referring to?"
"223","@JennLBeckwith @redCross helps w/Emergency Comms for Mil Fams to in these instances. Please call 8772727337 to start the process."
"224","We have FREE resources to help small business owners prepare for big disasters http://t.co/2jzl1inXM4 #SBW2014 http://t.co/BxJMOmCUcb"
"225","@DjWalt_ walt, please send them to socialmedia@redcross.org along with the proper way to list you on them.   Thanks again!"
"226","@tigga117 hi, we offer CNA trainings in florida, here is a link to find the locations: http://t.co/qa5RZSUBwU"
"227","Parents: What do you look for in a #sitter, #nanny or #aupair? http://t.co/4vmvWEvp24 http://t.co/5eP0y2qV1C"
"228","""I didn’t expect I would be the mother of a U.S. Navy officer"" - #military #MomConfessions on the Blog http://t.co/aNfdRdpAPP"
"229","In honor of #MilitarySpouseAppreciationDay here's a glimpse at life as a #milspouse http://t.co/lZkryCd0oP http://t.co/HCtuBAWZ0j"
"230","@northropgrumman: ""We’re a @RedCross Disaster Partner, helping bring comfort to disaster victims.""  &lt;--Thanks for your support!"
"231","#RedCross classes are available - RT @WSJ Babysitting becoming a hot summer job for teenage boys http://t.co/cdBM8Uex3p"
"232","Boys will boys..and babysitters, new data shows more boys getting babysitting jobs http://t.co/xeyo7aQS4G (via @todayshow)"
"233","SPOTTED: Stormtroopers and #DarthVader roll up their sleeves to #giveblood!  #MayThe4BeWithYou  (via @metrouk) http://t.co/Kb6uzjrorf"
"234","Recent tornadoes and floods have impacted 13 states, with your help we're there to assist: http://t.co/l3Wr6XODrq http://t.co/ombyyyBUnf"
"235","Via @WichitaRedCross - Barb is serving up lunch and hugs in #baxtersprings today.  http://t.co/gQWgbBiMOn"
