"","x"
"36","#Spain: New counter-terrorism proposals would infringe people’s basic #humanrights. http://t.co/daJhg6BScm http://t.co/OfOQd84izO"
"37","Good news: #ClaudiaMedina, who was tortured into a false confession, was cleared of ALL charges! #StopTorture #Mexico http://t.co/D33Wiqw1jZ"
"38","Prince Charles raises Raif Badawi's case with new #Saudi king: http://t.co/gQkaTXOylC #FreeRaif http://t.co/HMYzqTJMiI"
"39","#Malaysia: #AnwarVerdict will have chilling effect on freedom of expression. http://t.co/06Zj5SE6fG http://t.co/uuIDHQt2KP"
"40","#Russia: Defending #LGBT Rights is not “Propaganda”. http://t.co/WIWmDnR83M http://t.co/FAeniNyNAY"
"41","RT if you agree it’s time for @RahmEmanuel to ensure reparations for #Chicago police torture survivors! #RahmRepNow http://t.co/DAWmLKKHlz"
"42","#Chicago police torture survivors have been denied justice. @RahmEmanuel say YES to reparations. #RahmRepNow http://t.co/Jjqdvbe4Qx"
"43","#Chicago police tortured 100+ men &amp; women of color. RT to show @RahmEmanuel the world is watching! #RahmRepNow http://t.co/LL5KfkgC3u"
"44","#Guantanamo 9/11 hearing halted after defendant claims interpreter worked at CIA black site. http://t.co/W5sBcvcb09 http://t.co/L533Ro3W3F"
"45","#HumanRights in #SaudiArabia are Non-negotiable! Tell #US officials to act to help #FreeRaif. http://t.co/hJAQJHHV4x http://t.co/Aj13pQVSA8"
"46","We can build a safe, peaceful life for #Syria's refugees. Ask your government to #OpenToSyria. http://t.co/cQbeR9Zfor http://t.co/8RehgI3ifP"
"47","A #WheelOfTorture was found in a police station in the #Philippines. Torture isn't a game: http://t.co/DRLthxEVWK http://t.co/91dK2ytLsU"
"48","#SaudiArabia must release all prisoners of conscience immediately &amp; unconditionally. http://t.co/dqSJ126V6J http://t.co/4D5Gw3Hhfv"
"49","#USA: What #Utah &amp; #Virginia are trying to do to keep the #DeathPenalty will shock you. http://t.co/JQFWlX0aF8 http://t.co/6cB7P82c4o"
"50","""I found out my husband was killed. No one told me. I found out from YouTube."" http://t.co/wCovXwcaiK #OpenToSyria http://t.co/ZDJM5YAPbR"
"51","#Malaysia MUST drop sedition charges against #HumanRights lawyer for tweet. http://t.co/8ERUl8uI54 http://t.co/2RrGvBSPrs"
"52","1 year ago @Imaginedragons +more stood together for #HumanRights. Relive it all here! http://t.co/dFyd1aB0Cm #TBT http://t.co/QNdEQ1B799"
"53","#Guantanamo Forever: 28 words of hate at today’s Senate hearing. http://t.co/XcpULL05hS #HumanRights http://t.co/fi6zxh92Hf"
"54","Music has the power to shine a light for #HumanRights! Listen in now &amp; follow us on Spotify -&gt; http://t.co/dFyd1aB0Cm http://t.co/358xmr1Qih"
"55","Tomorrow, #Saudi blogger @raif_badawi is set to face another 50 lashes. Act now! http://t.co/8Ta4YDCtRd #FreeRaif http://t.co/CTZBKOiggt"
"56",".@SenMcCain, MUST withdraw support for the #Guantanamo Forever bill! RT if you agree: http://t.co/tewmurGgcU http://t.co/eO29ijgSVe"
"57","#China: Police must end crackdown against activists outside forced eviction trial. http://t.co/IyCGi8Uug4 http://t.co/XDrYiuORHa"
"58","#Syria refugee crisis is everyone’s responsibility but the US has not stepped up. http://t.co/cQbeR9Zfor #OpenToSyria http://t.co/7LFtTdwrxA"
"59","#Syria: New report highlights untold stories of Syria's most vulnerable #refugees. http://t.co/wCovXvUyUa http://t.co/owXJLWYa52"
"60","Killing of Jordanian pilot utterly reprehensible but revenge executions not the answer. http://t.co/R4S7Y0Rkic http://t.co/mXP9QMjdYN"
"61","#Egypt: Deportation of journalist must not overshadow plight of colleagues. #FreeAJStaff http://t.co/AAOPMPiDAP http://t.co/u2tCpumbec"
"62","#SaudiArabia: Women’s rights activist Souad al-Shammari released after 3 months of detention without charge. http://t.co/H6FJ2jVBCd"
"63","#Ukraine: Horror of civilian bloodshed in indiscriminate attacks. http://t.co/CsS5a8wOBT http://t.co/jowM5z50Kv"
"64","#Egypt: Deaths sentences handed down to 183 people following grossly unfair trials. http://t.co/t0YZt4LYij http://t.co/3FVmRZCVWO"
"65","#ElSalvador: Total abortion ban is the leading cause of suicide for pregnant teens. Act now! http://t.co/DExfNry61V http://t.co/dkeGtw9trx"
"66","#Saudi Arabia: Prisoner pardons must NOT include conditions to silence activists. http://t.co/xb4YKi7mPW #FreeRaif http://t.co/iF7pNEgtEv"
"67","Flogging of imprisoned #Saudi blogger Raif Badawi was not carried out today. He remains at risk. #FreeRaif http://t.co/8YDaqWnFkF"
"68","Excessive police force not the answer to horrific petrol bomb attacks in #Bangladesh. http://t.co/0apwXeZVLe http://t.co/i2vGsXGIuY"
"69","@JoseRicardoTB: 'Manipulation' is saying there's no racial discrimination in #RepDom when reality shows otherwise. http://t.co/GeXWIwN9fT"
"70","#Saudi authorities MUST stop tomorrow’s flogging of @raif_badawi &amp; unconditionally #FreeRaif! http://t.co/8Ta4YEbFQP http://t.co/0NhlbZBN3t"
"71","Medical expert warns repeat flogging of Raif may cause severe long-term damage. #FreeRaif http://t.co/02DsyuaZqf http://t.co/MM1MLIQ8kA"
"72","#USA: After botched executions, Supreme Court stays 3 Oklahoma death sentences: http://t.co/z7jJkPGGOP http://t.co/ngPLnecpGC"
"73","#Philippines: Torture remains prevalent &amp; has become a form of entertainment for police. http://t.co/ihAJHTP0RZ http://t.co/1axhQIgmJE"
"74","Over 1 million people have called on #SaudiArabia to #FreeRaif! He is still at risk. Act now: http://t.co/8Ta4YEbFQP http://t.co/pYPrDBrPQZ"
"75","#Nigeria: Authorities were repeatedly warned of #BokoHaram attacks on Baga &amp; Monguno. http://t.co/09vPKjS2Oj http://t.co/70yXt6O7q8"
"76","Georgia has executed #WarrenHill. We mourn his loss &amp; are saddened by this latest stain on US #humanrights record http://t.co/pbBe8M2R05"
"77","Tonight #Georgia plans to execute a man with the cognitive ability of a child http://t.co/60T9y493Vb #WarrenHill http://t.co/YWjyUonHZ5"
"78","Blogging is not a crime! #Saudi authorities MUST end the torture, stop the flogging &amp; #FreeRaif. @SaudiEmbassyUSA http://t.co/8Ta4YEbFQP"
"79","Thousands of women are imprisoned &amp; tortured by #ElSalvador's total abortion ban. Act now! http://t.co/HK4yfgvGqj http://t.co/AHFyvqmmYE"
"80","New #Saudi king must end lashing &amp; #FreeRaif to show his commitment to reform &amp; #humanrights. http://t.co/Fe1Rt0yBaU http://t.co/bRxPD5clJt"
"81","WATCH: Obama dodges question on @raif_badawi &amp; defends #Saudi relationship. #FreeRaif @FareedZakaria http://t.co/TFeL1qoV3H"
"82","Missing for 5 years. #SriLanka, where   is journalist &amp; cartoonist Prageeth Eknaligoda? http://t.co/KN2aMWQJ8h http://t.co/OkAJmp76sL"
"83","#Philippines: Police physically abuse suspects for entertainment using a “wheel of torture.” http://t.co/ihAJHTP0RZ http://t.co/XU2XQoHlxd"
"84",".@BarackObama urged to advocate for Raif Badawi's release during #SaudiArabia visit. #FreeRaif http://t.co/GDBuSuZGTk http://t.co/hOlVZnSTzX"
"85","#Bhopal was not a tragic accident, It was an avoidable disaster. http://t.co/uf7Hjjfrqi #ObamaInIndia http://t.co/POrrJq3J9K"
"86","Boko Haram attack on Maiduguri, hundreds of thousands of civilians at grave risk. #Nigeria http://t.co/GbeD474a9l"
"87","#ElSalvador’s total abortion ban is killing women &amp; girls and destroying the lives of others. http://t.co/zMslrS3mdI http://t.co/v74OMRwxil"
"88",".@IsraelinUSA we are delivering letters to #FreeMuradShtewi. Will you respect his right to protest after his release? http://t.co/uMYzelTyGx"
"89","As @WhiteHouse preps for #ObamaInIndia, #Bhopal disaster survivor asks for justice. http://t.co/V6JvFi7XO4 http://t.co/rU48pLj3A9"
"90","#SaudiArabia: The question on everybody’s mind. http://t.co/4o95i153ZW #FreeRaif #HumanRights http://t.co/xqcge7ZL2Q"
"91","Following death of King Abdullah, US should press for #humanrights reform in #SaudiArabia: http://t.co/tFIvsKCGjU #FreeRaif @SaudiEmbassyUSA"
"92","Palestinians should be allowed to live free of fear. @IsraelinUSA, don't ignore @amnesty letters! #FreeMuradShtewi http://t.co/BalhvrajYQ"
"93","#ElSalvador, Miscarriage is not a crime! http://t.co/BU1mWgyS1x http://t.co/MIxtdK7uXW"
"94","#Mexico: Investigation into disappearance of 43 students is far from conclusive. http://t.co/Fl5KhKWh0t #Ayotzinapa http://t.co/HdMM1PHEb4"
"95","Pardon for woman jailed after miscarriage, a turning point to end #ElSalvador's abortion ban. http://t.co/IAsPCn5foQ http://t.co/0UGbe4SuYg"
"96","Doctors find @raif_badawi unfit for flogging on health grounds. He is still at risk. http://t.co/X3POAOxzqR http://t.co/I9n0Ulgomg"
"97","#Egypt’s leaders need to stop the blame game for abuses against women. http://t.co/JLS0JTgti6 http://t.co/4F8Uo7TZH5"
"98","“I feel destroyed. But I don’t want to sit in a corner &amp; cry” @raif_badawi's wife. #FreeRaif http://t.co/gybTl4tllO http://t.co/AMmCMtzvXD"
"99","#Saudi authorities MUST end the torture, stop the flogging &amp; #FreeRaif. @SaudiEmbassyUSA http://t.co/4Zzc2HCofn http://t.co/mYjXWKJkGV"
"100","99% of women surveyed in #Egypt have faced some form of sexual harassment. http://t.co/dtzhDX4vu4 @UN_Women http://t.co/U7v7oPKRrY"
"101","What did you think of tonight’s State of the Union? Tweet us your thoughts #SOTUrights"
"102","Obama must move from words to action on race and policing. http://t.co/duixRbgUNg #SOTURights #BlackLivesMatter http://t.co/7zNxkCC6ly"
"103",".@WhiteHouse must take meaningful steps to end racial discrimination in US criminal justice system. http://t.co/duixRbgUNg #SOTURights"
"104","#DearObama, prioritize fair &amp; humane #immigration reform. #humanrights #SOTUrights http://t.co/476Imk35gL http://t.co/IS4nbUbamj"
"105","Hold @BarackObama at his word that he will #CloseGITMO. Add your support: #SOTUrights  http://t.co/vLBC8BQ6vR http://t.co/hFrsaUfTPt"
"106","There are no #HumanRights on a dead planet: If we fail our environment, we fail to protect #humanrights. #SOTUrights http://t.co/hKcGDpLjHG"
"107","#DearPOTUS, from Paris to Peshawar: Answer with #HumanRights. #SOTUrights http://t.co/6wndg4L2Fu #SOTU"
"108","Obama should support freedom of expression online by sending a clear message to govts who censor it. #SOTUrights http://t.co/MF4AT28vsG"
"109","Will Obama use national stage to push allies like #Saudi Arabia to stop crackdown on free expression? #FreeRaif #SOTU http://t.co/MF4AT28vsG"
"110","#AskTheWH: What are you doing in 2015 to ensure respect for #humanrights in the US &amp; globally? #SOTUrights #SOTU http://t.co/GwYhzG20Ik"
"111","#DearObama: Use #SOTU to move from words to actions on race &amp; policing. #BlackLivesMatter http://t.co/qlb1DqhvF0 http://t.co/X68l0PUbKf"
"112",".@BarackObama: 3 steps to advance rights of women &amp; girls in your #SOTU address. http://t.co/4iSyLfYgfc #SOTUrights http://t.co/O0A3a9J59f"
"113","First @raif_badawi. Now blogger Yassine Ayari imprisoned in #Tunisia. Blogging is NOT a crime. #FreeRaif #FreeYassine http://t.co/n5N4mltQRt"
"114","#Bahrain: 6 month sentence for Nabeel Rajab is a blow to freedom of expression &amp; #humanrights http://t.co/76bvDd5UaH http://t.co/H3PfLMtZ7b"
"115","#Myanmar: Freedom for all prisoners of conscience must follow release of activist Dr Tun Aung. http://t.co/7U9LullTkC http://t.co/S3sJ8HEy4z"
"116","Martin Luther King Jr.’s impact empowers individuals around the world to stand up for dignity &amp; justice. #MLKDay http://t.co/0PnmiAmixc"
"117","Martin Luther King Jr.’s legacy &amp; impact empowers us to take action &amp; speak out for #humanrights. #ReclaimMLK #MLKDay http://t.co/rYR0hKUUo0"
"118","@Amnesty *Corrected link* Our call on @BarackObama to meet w/ visiting #Bhopal survivors: http://t.co/DSsW3LUtSD"
"119","We call on @BarackObama to meet w/ visiting #Bhopal survivor before #India trip http://t.co/EzwAZZxojb http://t.co/U94Aohkkon"
"120","@BrasherDeborah Thanks so much for your support, Deborah!"
"121","@growingveggies Thanks so much for your support, Helen!"
"122","An #ICC investigation of #Israel &amp; occupied #Palestine could bring justice for all. @StateDept must stop propaganda http://t.co/SXbxU9ygQw"
"123","@Iam_BrookeSmith @GiaLovesAdele Thank you both for your support!"
"124","US Senators urge #SaudiArabia to free @Raif_Badawi + @WaleedAbulkhair. Read: http://t.co/B8bTvrIdr4 @SaudiEmbassyUSA http://t.co/0CnThELweQ"
"125","@Rohan_Jacob Thanks so much for your support, Rohan!"
"126","The news behind satellite images which appeared on today’s @nytimes front page http://t.co/aMtIdd9YGQ #BagaKillings http://t.co/djZqctVoGQ"
"127","#France faces litmus test for #FreeExpression as dozens arrested for ‘defending terrorism’ http://t.co/xv7WOcVwBa http://t.co/KIINQuSXQa"
"128","Flogging of Raif Badawi  postponed - not healed from last week http://t.co/5kURrMzP2X Saudis must end this #FreeRaif http://t.co/rqWCag9BZw"
"129","#Saudi authorities set to resume flogging of @raif_badawi. Stand w/ him &amp; his family http://t.co/WE7Tta7dNP #FreeRaif http://t.co/II1qMUgvdr"
"130","#Nigeria: Satellite images show town almost wiped off the map in 4 days of #BokoHaram attacks. http://t.co/kjB6urMca0 #BagaKillings"
"131","Activists demand reparations for survivors of #Chicago Police #torture at City Hall. @RahmEmanuel #RahmRepNow http://t.co/hkFxQeyns6"
"132",".@raif_badawi faces 50 more lashes. @NickKristof responds to @SaudiEmbassyUSA vicious act of cruelty. #FreeRaif http://t.co/CeaYoOqyVq"
"133","#Chicago City Hall MUST hold hearing for reparations for police #torture survivors! @AldermanEdBurke @RahmEmanuel http://t.co/HUFqOmaaJu"
"134","#Nigeria: Satellite images show horrific scale of Boko Haram attack. http://t.co/kjB6urMca0 #BagaKillings http://t.co/QW3BnQwMXI"
"135","@missrusso Thanks so much for your support, Monica!"
"136","Please act now to stop another 50 lashes for @raif_badawi! http://t.co/DxARp5S8S9 @SaudiEmbassyUSA #FreeRaif http://t.co/YG4Gc0f91S"
"137","22-24 hours a day isolated in a cell for months, years or decades. #US must #StopSolitary &amp; end this cruel practice! http://t.co/gu4AJVJzfQ"
"138","#Saudi authorities set to resume flogging of Raif Badawi on Friday. http://t.co/DxARp5S8S9 @SaudiEmbassyUSA #FreeRaif http://t.co/BRO2E2Jmti"
"139","1st public session of President’s #PolicingTaskForce today. What it needs to do now: http://t.co/uKH4w8uVv8 http://t.co/gAA8BDvN4C"
"140","@BritniDWrites Britni, thanks. We are asking people to take action on human rights abuses throughout the country http://t.co/v3CBdtGCYE"
"141","@doobeedoo2 It's a terrible situation. We are sending our best wishes to him and his family to let him know he's not alone."
"142",".@raif_badawi we wish you a happy birthday. Our thoughts —and actions-- are with you! #FreeRaif CC @SaudiEmbassyUSA http://t.co/rpANeBr0XO"
"143","@Kyrl Thanks so much for your support!"
"144","Be Wary of Government Exploiting Public Fear of 'Would-be’ Attackers http://t.co/mxVaFKBhHB http://t.co/AZ40isObAf"
"145","After a particularly violent year, #Nigeria elections must lead to protection &amp; accountability http://t.co/7GWD629tsA http://t.co/qTk3P7iNAj"
"146","@lyndsiibrookee Thanks for your support, Lyndsi!"
"147","@sarettap76 Thanks so much for your support, Sara!"
"148","@wonufo Thanks for your support, Carlos!"
"149","@peachberserk Thanks for your support, kingi!"
"150","@FarsightedGirl Thanks so much for your support!"
"151","@HeidiMorrell1 Thanks so much for your support, Heidi!"
"152","@C54614585 Thanks for your support, Lee!"
"153","@Musicluvr_ Thanks so much for your support, Esther!"
"154","@Schwaeble Thanks so much for your support, Jake!"
"155","5 years after #HaitiEarthquake, &gt;85,000 people still live in camps for the displaced. http://t.co/NdIf9JmauM http://t.co/6nZ68m4hfW"
"156","#Guantanamo: 13 years too many. #CloseGitmo http://t.co/yL33sUxLXV http://t.co/XjmTJGFjTp"
"157","Today marks the grim 13th anniversary of the opening of the prison at #Guantanamo Bay. @BarackObama #CloseGitmo. http://t.co/pJke0SWP7s"
"158","11 reasons this January 11th must be #Guantanamo’s last anniversary. http://t.co/yL33sUxLXV #HumanRights http://t.co/fibfMP4QNE"
"159","Following flogging of Raif Badawi, #Saudi authorities seek harsher sentence for his jailed lawyer #WaleedAbuAlkhair. #FreeWaleed #FreeRaif"
"160","We warned @JohnKerry US arms could end up with violent militias in #Iraq. @JoshRogin &amp; @EliLake say it's happening: http://t.co/WYwxCcZWUB"
"161","#SriLanka: New government must urgently address legacy of pressing #humanrights issues. http://t.co/hheHAGxTAz http://t.co/KeR8K51MlJ"
"162","""He was silent but you could tell that he was in real pain."" @SaudiEmbassyUSA #FreeRaif http://t.co/aqjx92Z2Cn http://t.co/uWi5hYoton"
"163","#Nigeria: Massacre possibly deadliest in Boko Haram’s history. http://t.co/eN5ZdKPmNw"
"164","The flogging of #Saudi blogger @raif_badawi is a horrific &amp; vicious act of cruelty. @SaudiEmbassyUSA #FreeRaif http://t.co/6qAF9Sf2WD"
"165","From Paris to #Peshawar: Answer with #HumanRights. http://t.co/mXGHOTro2L #CharlieHebdo"
"166","Blogging is not a crime. Flogging bloggers is. @SaudiEmbassyUSA stop the flogging &amp; #FreeRaif! http://t.co/DxARp5S8S9 http://t.co/fo6Ltmg5YL"
"167","Authorities must stop horrific public flogging of #Saudi blogger Raif Badawi! http://t.co/DxARp5S8S9 @SaudiEmbassyUSA http://t.co/yAV68qvjUo"
"168","#Haiti: 5 years after devastating earthquake tens of thousands still homeless &amp; desperate
http://t.co/DtVCYGHoc4 http://t.co/SIgLT6D3CD"
"169","Correction: #Nigeria: Long overdue victory as #Shell pays $83.5M for Niger Delta oil spills http://t.co/shl0zLJOto http://t.co/xvsSBil9bd"
"170","#Nigeria: Long overdue victory as #Shell finally pays $65 million for Niger Delta oil spills. http://t.co/p5lnQpCE7o http://t.co/L72LcIJ09O"
"171","#SriLanka: Death threats against activists highlight risk of violence around election. http://t.co/MRa6jpxs1u http://t.co/KSywCqM9uM"
"172","#Illinois governor should grant clemency to woman serving life w/o parole for a crime committed when she was a child. http://t.co/B2dxdn9d5n"
"173",".@WhiteHouse @IsraelinUSA: Don't punish #Palestine for joining the Int'l Criminal Court. #ICC http://t.co/dkdkYsKAPh http://t.co/WoclCQrOgi"
"174","Half of all suicides in #US prisons occur in solitary confinement. Act now to #StopSolitary! http://t.co/pkGkLqOcH9 http://t.co/spsjCUO5rn"
"175","#CharlieHebdo attack is a chilling assault on freedom of expression and an appalling human tragedy. #JeSuisCharlie http://t.co/AVx6mDIDlL"
"176","#US prisoners in isolation spend up to 24 hours a day in concrete windowless cells. Act to end this cruel treatment: http://t.co/pkGkLqOcH9"
"177","#France: Dark day for freedom of expression as gunmen attack newspaper office. #CharlieHebdo http://t.co/qqPl3R4ROF http://t.co/RuSLtisGjo"
"178","#Tunisia: Blogger jailed by military court should be released #humanrights http://t.co/ZIcSgtcUuB"
"179","Journalism is not a crime. #FreeAJStaff http://t.co/S410kOQikq http://t.co/KGbbUPdHyE"
"180","The total abortion ban is the leading cause of suicide for pregnant teens in #ElSalvador. Act now! http://t.co/DExfNry61V"
"181","""In the end, we will remember not the words of our enemies, but the silence of our friends."" -Martin Luther King, Jr. http://t.co/C8Uij7aRei"
"182","Escape from Hell: #Torture, Sexual Slavery in Islamic State Captivity. #Iraq #ISIS http://t.co/8jOAKUUNWu"
"183","#Egypt: Retrial of Al Jazeera journalists must pave way to their unconditional freedom. #FreeAJStaff http://t.co/S410kOQikq"
"184","You can't buy #HumanRights but you can help @amnesty fight for them! Triple your impact today: http://t.co/Tk9oFUXe6b http://t.co/0MmApza8t2"
"185","@EmpathyNow Thanks so much for your support, Edith!"
"186","@karvetski Thanks for your support, Kerri! Rock on!"
"187","@pidegroote Thanks for your support, Pieter!"
"188","1 year behind bars is 1 year too long. Free #PeterGreste. #FreeAJStaff. #Egypt http://t.co/shMXYlI5rD"
"189","@bnashat Thanks so much for your support, Bidjan!"
"190","Here is the first ever print of the iconic @Amnesty candle on the back cover of the 1963 Annual Report. http://t.co/oyPmj5Bz5c"
"191","End the total ban on abortion that is killing women &amp; girls in #ElSalvador. http://t.co/9OqzJoUHSZ"
"192","Take a stand &amp; raise your voice to ensure #HumanRights for all. http://t.co/n4eVo2uhFI"
"193","It is the fundamental right of every person to live free from violence and discrimination. #HumanRights"
"194","Today is a historic day for #humanrights. The global #ArmsTreaty is now international law!  http://t.co/8tuaiShpBX"
"195","#India must bring perpetrators to justice for the death of at least 50 civilians. http://t.co/1423PDcLXY http://t.co/9gv1HJoatG"
"196","At least 500,000 people die yearly as a result of poorly regulated weapons trade. #ArmsTreaty http://t.co/bK3Z38qS9n"
"197","Guilty verdicts &amp; harsh sentences against 57 expose horrors of the justice system in #Russia. http://t.co/K7xCvDoeTs http://t.co/WZmFYkkTlS"
"198","US #torture without orders &amp; hidden in plain sight. http://t.co/P1TDRycQi8 http://t.co/0I67CM6jiX"
"199","Tomorrow, the #ArmsTreaty enters into force! Learn why it matters so much for #humanrights worldwide. http://t.co/ZGnVY6uIdQ"
"200","@amnesty: Tweet regarding girls sold into slavery for $25 came from @thetimes reporting."
"201","#Iraq: Girls imprisoned by #ISIS militants are killing themselves to escape rape &amp; torture. http://t.co/dCDvlAoE1n @DRovera"
"202","Yezidi girls dragged by their hair into sexual slavery and sold for $25 by Islamic State. #Iraq #ISIS http://t.co/tS8pDT0Hkr"
"203","New report details #ISIS's torture, rape &amp; sexual violence towards Yezidi women. http://t.co/dCDvlAoE1n @DRovera http://t.co/hDo3hGS7pl"
"204","The case is not closed on #torture. We need real accountability now! http://t.co/VU0FH3kYq5 #StopTorture http://t.co/ohE5fxBTH9"
"205","#Pakistan: Executions not the answer to combating terrorism. http://t.co/cI8RH8G6C2 #deathpenalty http://t.co/OnO7pqf73o"
"206","@jvenarchick Thanks so much for your support, John!"
"207","On December 24th the global #ArmsTreaty enters into force. http://t.co/R2PONd8WOw"
"208","From a prison to a fortress of #HumanRights. http://t.co/JKBMFrJSXW Ai Weiwei on #Alcatraz http://t.co/dFhL9K4aJZ"
"209","117 of the 193 #UN member states vote in favor of abolishing the #deathpenalty. http://t.co/Djr647r3lI http://t.co/7OOg4lUeGw"
"210","There is an obligation to seek justice for CIA #Torture. http://t.co/0I90Ea6EZ9 http://t.co/ezG2d0l1Gx"
"211","#UN: Stampede of new states rush to join Arms Trade Treaty. http://t.co/DcChT5kMjN #ArmsTreaty http://t.co/mxMclF1gkp"
"212","This year OVER 2 million messages were sent to ensure #HumanRights around the world for #Write4Rights. http://t.co/X1Sdk2hMC5"
"213","#US stands in minority as record number of nations support global end to #deathpenalty. http://t.co/Djr647r3lI http://t.co/MhRxvVtXiE"
"214","Good news! Daughter allowed to visit Liu Ping, jailed in #China for fighting corruption. http://t.co/HEMhNoNS90 http://t.co/4J5f9Lyt1X"
"215","@Rechler Thanks so much for your support!"
"216","#Indigenous women are 2.5 times more likely to be raped or sexually assaulted than women in the #USA: http://t.co/hXGFl0VTaw"
"217","From our 1st letter, to the messages we leave behind, our words ALWAYS have the power to change lives. http://t.co/A5giVEzn8n #Write4Rights"
"218","#RacialProfiling in the #US criminalizes entire communities on the basis of a single identity. http://t.co/9TcLFB4GUx http://t.co/DfXkn0WvVU"
"219","@APSk8_Anne Thanks so much for your support!"
"220","#HumanRights of migrants are being trampled across the globe. http://t.co/RnwIBgbiQH #InternationalMigrantsDay http://t.co/eaxVNammpu"
"221","Cigarette burns, waterboarding &amp; electric shocks. #StopTorture in the #Philippines. http://t.co/Ex4MzB8V4Q"
"222","Throwing stones from a glass house: View of US #torture &amp; human rights violations from #Iran. http://t.co/aPAtGiph2h http://t.co/uY4az3f0Xg"
"223","Letters don't just record history. They change it. http://t.co/A5giVEzn8n #Write4Rights"
"224","#Nigeria: Tortured, beaten &amp; sentenced to death. Demand authorities drop Moses' sentence! http://t.co/15unvd0MAI #Write4Rights"
"225","@sparCKL Thanks so much for your support, Curtis 太空人 Chen!!"
"226","@catenaconnects Thanks so much for your support, Bonnie!"
"227","""Speaking out about injustices is worth the risk."" -Chelsea Manning #Write4Rights http://t.co/1oR2syd1gK http://t.co/VIjI4ytKss"
"228","USA-#Cuba prisoner swap must spur historic #HumanRights change. #CubanFive http://t.co/cjkMajxFos http://t.co/TOGzd6buvb"
"229","Today is Chelsea Manning’s birthday. Let it be her last behind bars http://t.co/RFhw6l6XmZ #Write4Rights #FreeChelsea http://t.co/VxoE9CHBZt"
"230","#India: Authorities must release Irom Sharmila following decision to decriminalize suicide. http://t.co/9cxSpNCbOu http://t.co/oolxnOutt8"
"231",".@ChicagosMayor, ensure reparations for all #Chicago torture survivors NOW! #RahmRepNow via @JasminitaMH http://t.co/RpZ3M6es1G"
"232","It’s time for @ChicagosMayor to declare full support for reparations for police torture survivors! #RahmRepNow http://t.co/zazBdXDCgs"
"233","Tens of thousands signatures demand justice for the survivors of #Chicago Police torture today. #RahmRepNow http://t.co/aU9LKRsIhq"
"234","#Iran: Alleged juvenile offender among 10 hunger strikers threatened with immediate execution. http://t.co/uUT9VdNpcI http://t.co/1Rg9bh12IW"
"235","#Pakistan: There can be absolutely no justification for targeting children in this way. http://t.co/bqmTYvDrIP http://t.co/DYDy7IvLmm"
