"","x"
"22","Boko Haram attack on Maiduguri, hundreds of thousands of civilians at grave risk. #Nigeria http://t.co/GbeD474a9l"
"23","#ElSalvador’s total abortion ban is killing women &amp; girls and destroying the lives of others. http://t.co/zMslrS3mdI http://t.co/v74OMRwxil"
"24",".@IsraelinUSA we are delivering letters to #FreeMuradShtewi. Will you respect his right to protest after his release? http://t.co/uMYzelTyGx"
"25","As @WhiteHouse preps for #ObamaInIndia, #Bhopal disaster survivor asks for justice. http://t.co/V6JvFi7XO4 http://t.co/rU48pLj3A9"
"26","#SaudiArabia: The question on everybody’s mind. http://t.co/4o95i153ZW #FreeRaif #HumanRights http://t.co/xqcge7ZL2Q"
"27","Following death of King Abdullah, US should press for #humanrights reform in #SaudiArabia: http://t.co/tFIvsKCGjU #FreeRaif @SaudiEmbassyUSA"
"28","Palestinians should be allowed to live free of fear. @IsraelinUSA, don't ignore @amnesty letters! #FreeMuradShtewi http://t.co/BalhvrajYQ"
"29","#ElSalvador, Miscarriage is not a crime! http://t.co/BU1mWgyS1x http://t.co/MIxtdK7uXW"
"30","#Mexico: Investigation into disappearance of 43 students is far from conclusive. http://t.co/Fl5KhKWh0t #Ayotzinapa http://t.co/HdMM1PHEb4"
"31","Pardon for woman jailed after miscarriage, a turning point to end #ElSalvador's abortion ban. http://t.co/IAsPCn5foQ http://t.co/0UGbe4SuYg"
"32","Doctors find @raif_badawi unfit for flogging on health grounds. He is still at risk. http://t.co/X3POAOxzqR http://t.co/I9n0Ulgomg"
"33","#Egypt’s leaders need to stop the blame game for abuses against women. http://t.co/JLS0JTgti6 http://t.co/4F8Uo7TZH5"
"34","President #Obama can help ensure justice for #Bhopal disaster survivors during #India visit. http://t.co/DSsW3LUtSD http://t.co/QOQoakErL7"
"35","Release of peaceful activist #DrTunAung is a welcome and positive step for #HumanRights in #Myanmar. @AaronSchock http://t.co/5RmkR5VIEl"
"36","#ElSalvador MUST reverse terrible injustice &amp; free woman imprisoned for having a miscarriage. http://t.co/AyPXUJR3SD http://t.co/S1kZkWyp9V"
"37","“I feel destroyed. But I don’t want to sit in a corner &amp; cry” @raif_badawi's wife. #FreeRaif http://t.co/gybTl4tllO http://t.co/AMmCMtzvXD"
"38","#Saudi authorities MUST end the torture, stop the flogging &amp; #FreeRaif. @SaudiEmbassyUSA http://t.co/4Zzc2HCofn http://t.co/mYjXWKJkGV"
"39","99% of women surveyed in #Egypt have faced some form of sexual harassment. http://t.co/dtzhDX4vu4 @UN_Women http://t.co/U7v7oPKRrY"
"40","What did you think of tonight’s State of the Union? Tweet us your thoughts #SOTUrights"
"41","Obama must move from words to action on race and policing. http://t.co/duixRbgUNg #SOTURights #BlackLivesMatter http://t.co/7zNxkCC6ly"
"42",".@WhiteHouse must take meaningful steps to end racial discrimination in US criminal justice system. http://t.co/duixRbgUNg #SOTURights"
"43","#DearObama, prioritize fair &amp; humane #immigration reform. #humanrights #SOTUrights http://t.co/476Imk35gL http://t.co/IS4nbUbamj"
"44","Hold @BarackObama at his word that he will #CloseGITMO. Add your support: #SOTUrights  http://t.co/vLBC8BQ6vR http://t.co/hFrsaUfTPt"
"45","There are no #HumanRights on a dead planet: If we fail our environment, we fail to protect #humanrights. #SOTUrights http://t.co/hKcGDpLjHG"
"46","#DearPOTUS, from Paris to Peshawar: Answer with #HumanRights. #SOTUrights http://t.co/6wndg4L2Fu #SOTU"
"47","Obama should support freedom of expression online by sending a clear message to govts who censor it. #SOTUrights http://t.co/MF4AT28vsG"
"48","Will Obama use national stage to push allies like #Saudi Arabia to stop crackdown on free expression? #FreeRaif #SOTU http://t.co/MF4AT28vsG"
"49","#AskTheWH: What are you doing in 2015 to ensure respect for #humanrights in the US &amp; globally? #SOTUrights #SOTU http://t.co/GwYhzG20Ik"
"50","#DearObama: Use #SOTU to move from words to actions on race &amp; policing. #BlackLivesMatter http://t.co/qlb1DqhvF0 http://t.co/X68l0PUbKf"
"51",".@BarackObama: 3 steps to advance rights of women &amp; girls in your #SOTU address. http://t.co/4iSyLfYgfc #SOTUrights http://t.co/O0A3a9J59f"
"52","First @raif_badawi. Now blogger Yassine Ayari imprisoned in #Tunisia. Blogging is NOT a crime. #FreeRaif #FreeYassine http://t.co/n5N4mltQRt"
"53","#Bahrain: 6 month sentence for Nabeel Rajab is a blow to freedom of expression &amp; #humanrights http://t.co/76bvDd5UaH http://t.co/H3PfLMtZ7b"
"54","#Myanmar: Freedom for all prisoners of conscience must follow release of activist Dr Tun Aung. http://t.co/7U9LullTkC http://t.co/S3sJ8HEy4z"
"55","Martin Luther King Jr.’s impact empowers individuals around the world to stand up for dignity &amp; justice. #MLKDay http://t.co/0PnmiAmixc"
"56","Martin Luther King Jr.’s legacy &amp; impact empowers us to take action &amp; speak out for #humanrights. #ReclaimMLK #MLKDay http://t.co/rYR0hKUUo0"
"57","@Amnesty *Corrected link* Our call on @BarackObama to meet w/ visiting #Bhopal survivors: http://t.co/DSsW3LUtSD"
"58","We call on @BarackObama to meet w/ visiting #Bhopal survivor before #India trip http://t.co/EzwAZZxojb http://t.co/U94Aohkkon"
"59","@BrasherDeborah Thanks so much for your support, Deborah!"
"60","@growingveggies Thanks so much for your support, Helen!"
"61","An #ICC investigation of #Israel &amp; occupied #Palestine could bring justice for all. @StateDept must stop propaganda http://t.co/SXbxU9ygQw"
"62","@Iam_BrookeSmith @GiaLovesAdele Thank you both for your support!"
"63","US Senators urge #SaudiArabia to free @Raif_Badawi + @WaleedAbulkhair. Read: http://t.co/B8bTvrIdr4 @SaudiEmbassyUSA http://t.co/0CnThELweQ"
"64","@Rohan_Jacob Thanks so much for your support, Rohan!"
"65","The news behind satellite images which appeared on today’s @nytimes front page http://t.co/aMtIdd9YGQ #BagaKillings http://t.co/djZqctVoGQ"
"66","#France faces litmus test for #FreeExpression as dozens arrested for ‘defending terrorism’ http://t.co/xv7WOcVwBa http://t.co/KIINQuSXQa"
"67","Flogging of Raif Badawi  postponed - not healed from last week http://t.co/5kURrMzP2X Saudis must end this #FreeRaif http://t.co/rqWCag9BZw"
"68","#Saudi authorities set to resume flogging of @raif_badawi. Stand w/ him &amp; his family http://t.co/WE7Tta7dNP #FreeRaif http://t.co/II1qMUgvdr"
"69","#Nigeria: Satellite images show town almost wiped off the map in 4 days of #BokoHaram attacks. http://t.co/kjB6urMca0 #BagaKillings"
"70","Activists demand reparations for survivors of #Chicago Police #torture at City Hall. @RahmEmanuel #RahmRepNow http://t.co/hkFxQeyns6"
"71",".@raif_badawi faces 50 more lashes. @NickKristof responds to @SaudiEmbassyUSA vicious act of cruelty. #FreeRaif http://t.co/CeaYoOqyVq"
"72","#Chicago City Hall MUST hold hearing for reparations for police #torture survivors! @AldermanEdBurke @RahmEmanuel http://t.co/HUFqOmaaJu"
"73","#Nigeria: Satellite images show horrific scale of Boko Haram attack. http://t.co/kjB6urMca0 #BagaKillings http://t.co/QW3BnQwMXI"
"74","@missrusso Thanks so much for your support, Monica!"
"75","Please act now to stop another 50 lashes for @raif_badawi! http://t.co/DxARp5S8S9 @SaudiEmbassyUSA #FreeRaif http://t.co/YG4Gc0f91S"
"76","22-24 hours a day isolated in a cell for months, years or decades. #US must #StopSolitary &amp; end this cruel practice! http://t.co/gu4AJVJzfQ"
"77","#Saudi authorities set to resume flogging of Raif Badawi on Friday. http://t.co/DxARp5S8S9 @SaudiEmbassyUSA #FreeRaif http://t.co/BRO2E2Jmti"
"78","1st public session of President’s #PolicingTaskForce today. What it needs to do now: http://t.co/uKH4w8uVv8 http://t.co/gAA8BDvN4C"
"79","@BritniDWrites Britni, thanks. We are asking people to take action on human rights abuses throughout the country http://t.co/v3CBdtGCYE"
"80","@doobeedoo2 It's a terrible situation. We are sending our best wishes to him and his family to let him know he's not alone."
"81",".@raif_badawi we wish you a happy birthday. Our thoughts —and actions-- are with you! #FreeRaif CC @SaudiEmbassyUSA http://t.co/rpANeBr0XO"
"82","@Kyrl Thanks so much for your support!"
"83","Be Wary of Government Exploiting Public Fear of 'Would-be’ Attackers http://t.co/mxVaFKBhHB http://t.co/AZ40isObAf"
"84","After a particularly violent year, #Nigeria elections must lead to protection &amp; accountability http://t.co/7GWD629tsA http://t.co/qTk3P7iNAj"
"85","@lyndsiibrookee Thanks for your support, Lyndsi!"
"86","@sarettap76 Thanks so much for your support, Sara!"
"87","@wonufo Thanks for your support, Carlos!"
"88","@peachberserk Thanks for your support, kingi!"
"89","@FarsightedGirl Thanks so much for your support!"
"90","@HeidiMorrell1 Thanks so much for your support, Heidi!"
"91","@C54614585 Thanks for your support, Lee!"
"92","@Musicluvr_ Thanks so much for your support, Esther!"
"93","@Schwaeble Thanks so much for your support, Jake!"
"94","5 years after #HaitiEarthquake, &gt;85,000 people still live in camps for the displaced. http://t.co/NdIf9JmauM http://t.co/6nZ68m4hfW"
"95","#Guantanamo: 13 years too many. #CloseGitmo http://t.co/yL33sUxLXV http://t.co/XjmTJGFjTp"
"96","""He was silent but you could tell that he was in real pain."" @SaudiEmbassyUSA #FreeRaif http://t.co/aqjx92Z2Cn http://t.co/uWi5hYoton"
"97","#Nigeria: Massacre possibly deadliest in Boko Haram’s history. http://t.co/eN5ZdKPmNw"
"98","The flogging of #Saudi blogger @raif_badawi is a horrific &amp; vicious act of cruelty. @SaudiEmbassyUSA #FreeRaif http://t.co/6qAF9Sf2WD"
"99","From Paris to #Peshawar: Answer with #HumanRights. http://t.co/mXGHOTro2L #CharlieHebdo"
"100","Blogging is not a crime. Flogging bloggers is. @SaudiEmbassyUSA stop the flogging &amp; #FreeRaif! http://t.co/DxARp5S8S9 http://t.co/fo6Ltmg5YL"
"101","Authorities must stop horrific public flogging of #Saudi blogger Raif Badawi! http://t.co/DxARp5S8S9 @SaudiEmbassyUSA http://t.co/yAV68qvjUo"
"102","#Haiti: 5 years after devastating earthquake tens of thousands still homeless &amp; desperate
http://t.co/DtVCYGHoc4 http://t.co/SIgLT6D3CD"
"103","Correction: #Nigeria: Long overdue victory as #Shell pays $83.5M for Niger Delta oil spills http://t.co/shl0zLJOto http://t.co/xvsSBil9bd"
"104","#Nigeria: Long overdue victory as #Shell finally pays $65 million for Niger Delta oil spills. http://t.co/p5lnQpCE7o http://t.co/L72LcIJ09O"
"105","#SriLanka: Death threats against activists highlight risk of violence around election. http://t.co/MRa6jpxs1u http://t.co/KSywCqM9uM"
"106","#Illinois governor should grant clemency to woman serving life w/o parole for a crime committed when she was a child. http://t.co/B2dxdn9d5n"
"107",".@WhiteHouse @IsraelinUSA: Don't punish #Palestine for joining the Int'l Criminal Court. #ICC http://t.co/dkdkYsKAPh http://t.co/WoclCQrOgi"
"108","Half of all suicides in #US prisons occur in solitary confinement. Act now to #StopSolitary! http://t.co/pkGkLqOcH9 http://t.co/spsjCUO5rn"
"109","#CharlieHebdo attack is a chilling assault on freedom of expression and an appalling human tragedy. #JeSuisCharlie http://t.co/AVx6mDIDlL"
"110","#US prisoners in isolation spend up to 24 hours a day in concrete windowless cells. Act to end this cruel treatment: http://t.co/pkGkLqOcH9"
"111","#France: Dark day for freedom of expression as gunmen attack newspaper office. #CharlieHebdo http://t.co/qqPl3R4ROF http://t.co/RuSLtisGjo"
"112","#Tunisia: Blogger jailed by military court should be released #humanrights http://t.co/ZIcSgtcUuB"
"113","Journalism is not a crime. #FreeAJStaff http://t.co/S410kOQikq http://t.co/KGbbUPdHyE"
"114","The total abortion ban is the leading cause of suicide for pregnant teens in #ElSalvador. Act now! http://t.co/DExfNry61V"
"115","""In the end, we will remember not the words of our enemies, but the silence of our friends."" -Martin Luther King, Jr. http://t.co/C8Uij7aRei"
"116","Escape from Hell: #Torture, Sexual Slavery in Islamic State Captivity. #Iraq #ISIS http://t.co/8jOAKUUNWu"
"117","#Egypt: Retrial of Al Jazeera journalists must pave way to their unconditional freedom. #FreeAJStaff http://t.co/S410kOQikq"
"118","You can't buy #HumanRights but you can help @amnesty fight for them! Triple your impact today: http://t.co/Tk9oFUXe6b http://t.co/0MmApza8t2"
"119","@EmpathyNow Thanks so much for your support, Edith!"
"120","@karvetski Thanks for your support, Kerri! Rock on!"
"121","@pidegroote Thanks for your support, Pieter!"
"122","@maryhooksilver Thanks so much for your support, Mary!"
"123","@JDEstradawriter Thanks so much for your support, JD!"
"124","Ending 2014 w/ good news: @GovernorOMalley's commutes all #deathpenalty sentences in Maryland! http://t.co/DOoILhmRWK http://t.co/reUpkluoDm"
"125","2014 has been a big year for #Uganda, for all the wrong reasons: http://t.co/qfjPbkAeQ8 #LGBT #HumanRights http://t.co/u2IPKlOAGq"
"126","Thank you for all you've done this year for #HumanRights! Here's to doing even more in 2015. http://t.co/BUxx4Df4ju"
"127","#India must bring perpetrators to justice for civilian deaths in Assam. http://t.co/5VlJyXyeVW http://t.co/7UPp08jnQp"
"128","Jailed #HumanRights defender &amp; @NobelPrize laureate #LiuXiaobo plea for freedom &amp; love. #China http://t.co/TsKHzPHgCF http://t.co/GJ7JINXuPN"
"129","Do you want to triple your impact? Join @amnesty today &amp; champion #HumanRights! http://t.co/Tk9oFUXe6b http://t.co/w6JFspvzLt"
"130","Tell #ElSalvador: Miscarriage is not a crime! http://t.co/TzZHVLfVyB http://t.co/UQSEe4Qdl9"
"131","#DominicanRepublic takes a big step towards ensuring #HumanRights for women &amp; girls. http://t.co/icrlmWt9qK http://t.co/dXDAlO7ynI"
"132","1 year behind bars is 1 year too long. Free #PeterGreste. #FreeAJStaff. #Egypt http://t.co/shMXYlI5rD"
"133","@bnashat Thanks so much for your support, Bidjan!"
"134","Here is the first ever print of the iconic @Amnesty candle on the back cover of the 1963 Annual Report. http://t.co/oyPmj5Bz5c"
"135","End the total ban on abortion that is killing women &amp; girls in #ElSalvador. http://t.co/9OqzJoUHSZ"
"136","Take a stand &amp; raise your voice to ensure #HumanRights for all. http://t.co/n4eVo2uhFI"
"137","It is the fundamental right of every person to live free from violence and discrimination. #HumanRights"
"138","Today is a historic day for #humanrights. The global #ArmsTreaty is now international law!  http://t.co/8tuaiShpBX"
"139","#India must bring perpetrators to justice for the death of at least 50 civilians. http://t.co/1423PDcLXY http://t.co/9gv1HJoatG"
"140","At least 500,000 people die yearly as a result of poorly regulated weapons trade. #ArmsTreaty http://t.co/bK3Z38qS9n"
"141","Guilty verdicts &amp; harsh sentences against 57 expose horrors of the justice system in #Russia. http://t.co/K7xCvDoeTs http://t.co/WZmFYkkTlS"
"142","US #torture without orders &amp; hidden in plain sight. http://t.co/P1TDRycQi8 http://t.co/0I67CM6jiX"
"143","Tomorrow, the #ArmsTreaty enters into force! Learn why it matters so much for #humanrights worldwide. http://t.co/ZGnVY6uIdQ"
"144","@amnesty: Tweet regarding girls sold into slavery for $25 came from @thetimes reporting."
"145","#Iraq: Girls imprisoned by #ISIS militants are killing themselves to escape rape &amp; torture. http://t.co/dCDvlAoE1n @DRovera"
"146","Yezidi girls dragged by their hair into sexual slavery and sold for $25 by Islamic State. #Iraq #ISIS http://t.co/tS8pDT0Hkr"
"147","New report details #ISIS's torture, rape &amp; sexual violence towards Yezidi women. http://t.co/dCDvlAoE1n @DRovera http://t.co/hDo3hGS7pl"
"148","The case is not closed on #torture. We need real accountability now! http://t.co/VU0FH3kYq5 #StopTorture http://t.co/ohE5fxBTH9"
"149","#Pakistan: Executions not the answer to combating terrorism. http://t.co/cI8RH8G6C2 #deathpenalty http://t.co/OnO7pqf73o"
"150","@jvenarchick Thanks so much for your support, John!"
"151","On December 24th the global #ArmsTreaty enters into force. http://t.co/R2PONd8WOw"
"152","From a prison to a fortress of #HumanRights. http://t.co/JKBMFrJSXW Ai Weiwei on #Alcatraz http://t.co/dFhL9K4aJZ"
"153","117 of the 193 #UN member states vote in favor of abolishing the #deathpenalty. http://t.co/Djr647r3lI http://t.co/7OOg4lUeGw"
"154","There is an obligation to seek justice for CIA #Torture. http://t.co/0I90Ea6EZ9 http://t.co/ezG2d0l1Gx"
"155","#UN: Stampede of new states rush to join Arms Trade Treaty. http://t.co/DcChT5kMjN #ArmsTreaty http://t.co/mxMclF1gkp"
"156","This year OVER 2 million messages were sent to ensure #HumanRights around the world for #Write4Rights. http://t.co/X1Sdk2hMC5"
"157","#US stands in minority as record number of nations support global end to #deathpenalty. http://t.co/Djr647r3lI http://t.co/MhRxvVtXiE"
"158","Good news! Daughter allowed to visit Liu Ping, jailed in #China for fighting corruption. http://t.co/HEMhNoNS90 http://t.co/4J5f9Lyt1X"
"159","@Rechler Thanks so much for your support!"
"160","#Indigenous women are 2.5 times more likely to be raped or sexually assaulted than women in the #USA: http://t.co/hXGFl0VTaw"
"161","From our 1st letter, to the messages we leave behind, our words ALWAYS have the power to change lives. http://t.co/A5giVEzn8n #Write4Rights"
"162","#RacialProfiling in the #US criminalizes entire communities on the basis of a single identity. http://t.co/9TcLFB4GUx http://t.co/DfXkn0WvVU"
"163","@APSk8_Anne Thanks so much for your support!"
"164","#HumanRights of migrants are being trampled across the globe. http://t.co/RnwIBgbiQH #InternationalMigrantsDay http://t.co/eaxVNammpu"
"165","Cigarette burns, waterboarding &amp; electric shocks. #StopTorture in the #Philippines. http://t.co/Ex4MzB8V4Q"
"166","Throwing stones from a glass house: View of US #torture &amp; human rights violations from #Iran. http://t.co/aPAtGiph2h http://t.co/uY4az3f0Xg"
"167","Letters don't just record history. They change it. http://t.co/A5giVEzn8n #Write4Rights"
"168","#Nigeria: Tortured, beaten &amp; sentenced to death. Demand authorities drop Moses' sentence! http://t.co/15unvd0MAI #Write4Rights"
"169","@sparCKL Thanks so much for your support, Curtis 太空人 Chen!!"
"170","@catenaconnects Thanks so much for your support, Bonnie!"
"171","""Speaking out about injustices is worth the risk."" -Chelsea Manning #Write4Rights http://t.co/1oR2syd1gK http://t.co/VIjI4ytKss"
"172","USA-#Cuba prisoner swap must spur historic #HumanRights change. #CubanFive http://t.co/cjkMajxFos http://t.co/TOGzd6buvb"
"173","Today is Chelsea Manning’s birthday. Let it be her last behind bars http://t.co/RFhw6l6XmZ #Write4Rights #FreeChelsea http://t.co/VxoE9CHBZt"
"174","#India: Authorities must release Irom Sharmila following decision to decriminalize suicide. http://t.co/9cxSpNCbOu http://t.co/oolxnOutt8"
"175",".@ChicagosMayor, ensure reparations for all #Chicago torture survivors NOW! #RahmRepNow via @JasminitaMH http://t.co/RpZ3M6es1G"
"176","It’s time for @ChicagosMayor to declare full support for reparations for police torture survivors! #RahmRepNow http://t.co/zazBdXDCgs"
"177","Tens of thousands signatures demand justice for the survivors of #Chicago Police torture today. #RahmRepNow http://t.co/aU9LKRsIhq"
"178","#Iran: Alleged juvenile offender among 10 hunger strikers threatened with immediate execution. http://t.co/uUT9VdNpcI http://t.co/1Rg9bh12IW"
"179","#Pakistan: There can be absolutely no justification for targeting children in this way. http://t.co/bqmTYvDrIP http://t.co/DYDy7IvLmm"
"180","At least 126 people, mostly children, killed in #Pakistan Taliban attack on Peshawar school. http://t.co/fdVGOGSGP5 via @BBCNews"
"181","@spandlegax http://t.co/supVx5mwJc"
"182","What’s behind the arrests of 27 journalists, press &amp; media figures in #Turkey? http://t.co/DkV7jS1pas http://t.co/xkH5GvYQMZ"
"183","@RobertBulechek Thanks for your support, Robert!"
"184","@jebelmoon Thanks so much for your support, Daryn!"
"185","This is My Real Life. This is My Home. I Matter. #BlackLivesMatter http://t.co/0dTWuxe69d http://t.co/QT7584Ib2T"
"186","Demand justice for the 43 missing students in #Mexico. http://t.co/jgxkfBI4bW #AyotzinapaSomosTodos http://t.co/067ZT5cxJY"
"187","Here is what John #Brennan should have said about the #TortureReport. http://t.co/MfTFCllDJD http://t.co/BIlYkG4YTV"
"188","Acknowledgement is not accountability &amp; #torture is not a mistake – it's a crime. http://t.co/jCcIZ5y4F8 #TortureReport #Brennan"
"189","NO circumstances whatsoever can justify the use of #torture. Perpetrators must be held accountable. #TortureReport http://t.co/ST59ci3zhe"
"190","#TortureReport: Human rights abuse &amp; #torture perpetrated in the name of “national security” are a crime. http://t.co/k1vcNCBxJk"
"191","@DondasHouse &amp; @HadiyasPromise Thank you so much for the incredible &amp; empowering #WriteforRights event last night!"
"192","#Chicago police systematically tortured over 100 men of color. @RahmEmanuel MUST ensure justice for survivors! http://t.co/h5VIPd3xmc"
"193","An injustice anywhere is an injustice everywhere. #HumanRights matter. @HarryBelafonte http://t.co/skVqv8vusT http://t.co/qIVktykVZ1"
"194","@Highcentered Thanks for your support!"
"195","@JuanNunez Thanks so much for your support!"
"196","Tune-in now w/ @DondasHouse, @HadiyasPromise + @amnesty to hear the powerful #HumanRights impact of #Write4Rights! http://t.co/8J4XGKN6Iu"
"197","""Injustice must never be allowed to rear its ugly head without us knocking it off"" -Darrell Cannon, #Chicago torture survivor. #Write4Rights"
"198","LIVE NOW: Join @DondasHouse here &gt; http://t.co/1UTFFVpXnN to watch speakers, performers &amp; artists bring #Write4Rights home!"
"199","Join @DondasHouse, @HadiyasPromise + @amnesty as we bring #HumanRights home for #Write4Rights! http://t.co/8J4XGKN6Iu http://t.co/J3Io1yX22E"
"200","Raif Badawi's 10-year old son joins #Write4Rights to write for his Dad. Act to help #FreeRaif! http://t.co/yErD4RJQyd http://t.co/pu0zB2W0LY"
"201","@AngelaLindner1 Thanks so much for your support, Angela!"
"202","@RickieLeeJones Thanks so much for your support!"
"203","Happy #HumanRightsDay! Raise your voice today to ensure #HumanRights for all.  http://t.co/4ovzSOATEm http://t.co/3CGm6nSSC2"
"204","@TrillSailboat Thanks so much for your support!"
"205","@AnneLevine Thanks for your support Anne!"
"206","@Uraliceldrhnk Thanks for your support, Liam!"
"207","@phidippides26 Thanks so much for your support John!"
"208","@llovelymummy Thanks for your support Aileen!"
"209","@HobbesDeutschJr Thanks so much for your support, Hobbes!"
"210","On #HumanRightsDay, @ChrisetteM shares a powerful call to join her for this year's #Write4Rights. http://t.co/vKH94mwCmF"
"211","Your voice &amp; millions of others have made our #HumanRights movement strong. Happy #HumanRightsDay! http://t.co/u9LXJ2PSxL"
"212","10 years. 1,000 lashes. Just for a website in #SaudiArabia. Free Raif #Write4Rights http://t.co/mKkF8LlTqP http://t.co/baKdhZjxlH"
"213","Senate #TortureReport summary on CIA detention program must not be end of story. #StopTorture http://t.co/k1vcNCBxJk http://t.co/Pd7TIL6fez"
"214","Numbers fail to reflect disproportionate effect of gun violence on #women. #16days #ArmsTreaty http://t.co/mZpbAvMkNl http://t.co/AgGRFX0Sps"
"215","@Reanimateddoll Thanks so much for your support, Keisha!"
"216","@burninoutloud Thanks for your support, Dave!"
"217","#Torture is a crime &amp; those responsible MUST be held accountable. #StopTorture http://t.co/zeqE0Hl4Be http://t.co/ZPHbHV1Mtp"
"218","#TortureReport: No circumstances whatsoever can justify the use of #torture. Demand US accountability! #StopTorture http://t.co/0skaRsNi5A"
"219","Release of #TortureReport underscores the need for accountability. US government MUST #StopTorture: http://t.co/2CJxit75Dv"
"220","Write a letter. Change a life. #Write4Rights with @amnesty. http://t.co/o78FP93skZ http://t.co/DCMHl7Z0ca"
"221","Is the US about to open floodgates of weapons to armed groups in #Iraq &amp; #Syria? http://t.co/RpXnxGxRmC @McConnellPress @SenatorReid #NDAA"
"222","US transfers 6 #Guantanamo detainees -held since 2002 &amp; never charged w/ crimes- to #Uruguay http://t.co/mbdTjXzZm1 http://t.co/8Pb7hmwxOZ"
"223","Stop shaming survivors of gender-based violence. #16days http://t.co/VjY2rPLSRo http://t.co/L0DvBYHLzk"
"224","Demand justice for the 43 missing students in #Mexico. http://t.co/jgxkfBI4bW #AyotzinapaSomosTodos http://t.co/U5yHBddW1T"
"225","#Chicago police tortured over 100 people, all men of color, over 2 decades. Demand justice: http://t.co/h5VIPd3xmc http://t.co/hby0WP9b1I"
"226","#US government must release Senate #TortureReport without delay.   @JohnKerry @State_DRL http://t.co/bEX5c8TmEs http://t.co/u5YFexsNlK"
"227","#Indonesia must immediately stop imminent execution of five people. http://t.co/Q8LSGXczwZ #deathpenalty http://t.co/ozQMb8jhQJ"
"228","USA: Releasing the Senate report on #CIAtorture is an obligation not a choice! http://t.co/bEX5c8TmEs CC @JohnKerry @State_DRL"
"229","10 appalling attacks on #HumanRights and 1 powerful way you can help. #Write4Rights http://t.co/syvITHhA4i http://t.co/we3JrJlWNV"
"230","@Joyous_Jinx Thanks so much for your support Jocelyn!"
"231","@mikevanderosen Thanks for your support Michael!"
"232","@jacoporomei Grazie -- Thanks so much for your support, Jacopo!"
"233","#EricGarner case highlights urgent need to review US policing practices. http://t.co/xf181PE9zx http://t.co/OVZIWPGLyt"
"234","#China claims to be clamping down on corruption yet persecute those who try &amp; expose it. Act now: http://t.co/rVOCuBJlF5 #Write4Rights"
