"","x"
"102","Happy #Halloween! Stay safe w/ these tips: http://t.co/0Y6BMtnQVs https://t.co/mzqrM2ehEN"
"103","You have two minutes to escape your burning home. Do you have a #gameplan to get out safely? http://t.co/juCDSt90A5 http://t.co/THrOqRRItE"
"104","Yes, we're #vampires, but what do we do w/ your #blood after you donate? Find out here! http://t.co/AoNgoUrjLC http://t.co/1QClpZ2eLS"
"105","Two years later, volunteers are still helping people recover from Hurricane #Sandy: http://t.co/k3blfb9rwB http://t.co/swZqGwy6Cm"
"106","Every 8 mins #RedCross responds to a home fire. Be prepared: http://t.co/fxW1XTYLcK #firesafety http://t.co/q39jJddoyU"
"107","Meet Pascal - he had been helped by the #RedCross and now wants to give back by volunteering. http://t.co/9ckTojr8Wt http://t.co/L4ftrlfb8U"
"108","After #ShakeOut2014 we're reflecting on #LomaPrieta #CA - 25 years later: http://t.co/oxNrfSoTwl http://t.co/O0mSBqNeaH"
"109","Did you know the #RedCross app can tell you where an earthquake happened: http://t.co/tVeoq367YN  #ShakeOut http://t.co/38P0V3VMWN"
"110","Participating in the Great #ShakeOut? Use our app to get informed and stay prepared: http://t.co/tVeoq367YN http://t.co/KzMBLUGZIA"
"111","It’s time to “Drop, Cover and Hold On!” Practice your drill tomorrow: http://t.co/pASzM2mU0u
#ShakeOut http://t.co/FBgoojLE2Q"
"112","Learn what to do during an #earthquake &amp; how to prepared for one. Join Earthquake Safety TweetChat. Today @ 3pm ET. #EQChat"
"113","Find out how a newly installed smoke detector saved this woman's life: http://t.co/EZmoeUrLDw #firesafety http://t.co/biub4k3hla"
"114","How can #videogames can educate players about the @rulesofwar? Join the discussion today: http://t.co/LjTxDbA0x7 #roleplayingIHL"
"115","Do you know what to do when a #Tornado warning is issued for your area? Download our app: http://t.co/Sb5Hc1W5ts http://t.co/utaCKJo2RV"
"116","On average 7 ppl die/day from a home fire. We want to lower that number: http://t.co/rhrGuPSma7 #FireSafety http://t.co/kiC1WwEUd9"
"117","@ren5r Thank you for donating!"
"118","What do you do when you hear a fire alarm? A. Panic. B. Escape. C. Dance? http://t.co/90KyvWHRVF #firesafety"
"119","[VIDEO} Could you and your family survive a home fire?  @RedCross and @todayshow put one family to the test: http://t.co/SoiEil1lHf"
"120","7 tips on how to protect yourself + family from #Enterovirus &amp; #Flu http://t.co/U8NTkYV3q7 #abcDRBchat"
"121","Questions about #cold, #flu or #enterovirus? Join today's #abcDRBchat 2day @ 1PM ET &amp; get answers from @DisasterProf &amp; other experts!"
"122","No matter what you're facing, remember: You &gt; Any Disaster:http://t.co/J9mWX43hPD http://t.co/Spm1tpyxLq"
"123","@CallMeJace Please DM us your email address and we can see if we can help."
"124","@elburkho Hi! You can find your local chapter here &amp; call and ask if times are not available online:http://t.co/8MgGk7qFzk that helps!"
"125","Stay prepared all year long w/our ""Get Prepared"" Pinterest board: http://t.co/dbajmHqSl0 #NatlPrep #NPM14"
"126","Concerned about #Enterovirus or the #flu? Tips on preventing the spread of #disease http://t.co/B5GhJPTMUD http://t.co/GmAYknyev6"
"127","We're working w/ Colombian #RedCross to provide #Firstaid + #Disaster Prep to underserved communities: http://t.co/YjEoXANYFJ"
"128","The global #RedCross network opens an #Ebola treatment center in Sierra Leone. Read more: http://t.co/1oRpSqdWJN http://t.co/RS5CQPweR4"
"129","Nilda Navedo and her sister have a story to share for #SickleCell Awareness Month: http://t.co/3XHIjpCGv0 #giveblood http://t.co/bmd7AbOmt3"
"130","Clarence Barton loves jumping in colorful piles of leaves. What are YOU excited about on the #FirstDayofFall? http://t.co/3mzzXYARZz"
"131","How the #RedCross is responding to #wildfires in the west. http://t.co/FjVZLqRlE5 #KingFire http://t.co/Vukg5Qlait"
"132","Clarence Barton has already started collecting badges and team members with the new #RedCrossBloodApp: http://t.co/HldXbRefO4"
"133","Are you prepared when disaster strikes? Tune in as we talk about #NatlPrep w/@weatherchannel during @wakeupwithal at 6:10a ET today!"
"134","If you have to evacuate your home, make sure you grab these items in addition to your emergency kit. #NatlPrep http://t.co/FozhtqXh3V"
"135","With flooding in the southwest, make sure you know the facts about floods &amp; how to prepare: http://t.co/HAXuzX1A4S http://t.co/T7KYXypfBV"
"136","To check on loved ones in #Baja impacted by #Odile, contact State Department’s Overseas Citizen Services at 1-888-407-4747"
"137","Wildfires? Floods? Hurricanes? Download #RedCross apps and prepare for disasters: http://t.co/hGx5blztkx #NatlPrep http://t.co/S7FuxA2bAu"
"138","#DidYouKnow More than 1.6 million people came to donate blood or platelets w/#RedCross this summer. http://t.co/26r6SuLBRN"
"139","Celebrating 20 years of ""Getting Things Done"" w/ @AmeriCorps: http://t.co/1vWcAnbinf  #AmeriCorps20"
"140","@sweinhaus @BIDMChealth @RedSox Thanks for donating!"
"141","@mariatucker1 Please DM us your email address so we can help you resolve this issue. Thanks."
"142","Today, we remember those we lost, and honor all who stood to lend a helping hand. #911Anniversary #NeverForget"
"143","You know what the hottest new #iPhone accessory is? The new #RedCrossBloodApp: http://t.co/ZZf0dG2MbQ http://t.co/wPX0s5Sz7N"
"144","We're excited to introduce the #RedCrossBloodAppp! Join a team, track your pints, and #SaveALife: http://t.co/qpr1nh8pOn"
"145","@CarrieCamillo Search ""Red Cross Blood"" in your app store."
"146","The #RedCrossBloodApp is here!  Download &amp; start saving lives today: http://t.co/ZZf0dG2MbQ http://t.co/6eO8lC3t0q"
"147","How #RedCross continues to work w/ local partners to help those affected by #haiyan: http://t.co/NWlnLVNwMT http://t.co/t0kCeieQw5"
"148","@theFoxCastle would you be interested in becoming a blood drive host in your area?  Let us know!"
"149","Big announcement coming this Tuesday!  #staytuned for more details!"
"150","@wwandco hi william here is a link to get more info on classes in your area: http://t.co/Ssj8okM81L.   thanks for reaching out!"
"151","For #NatlPrep talk to your kids and make sure they know what to do when severe weather hits. http://t.co/8ALPyBzDhA"
"152","The #RedCross has been helping people create recovery plans after the #NapaQuake: http://t.co/EsqNEcx8gL"
"153","@mjack96 can you DM us your email address so we can assist with getting your name removed from the call list?"
"154","Grilling today? Save a hot dog for us &amp; remember these Red Cross safety tips: http://t.co/G6KcVPCxUj http://t.co/is7M4Aq7MC"
"155","Whether you'll be in, on, or around water this holiday weekend, these Red Cross tips will help keep you safe: http://t.co/l5fBCh22yl"
"156","Know what the 5 basic #swimming skills are and how to do them? http://t.co/9GWHvCNMcE "
"157","@DexterFowler thanks again for hosting the blood drive 2day with @RedCrossBloodSW u knocked it out the park!  #FowlersHowlers"
"158","Rip current risk will be high this #weekend. Know what to do: http://t.co/7PjyLot8J4 #Cristobal http://t.co/hp20auDvAr"
"159","What does an American Red Cross deployed disaster specialist do in Iraq? Q&amp;A w/ Stacy Ragan: http://t.co/sbycqiJwK4 http://t.co/xhKKMUEPxk"
"160","Take a minute and paws to download the Pet First Aid app for #NationalDogDay: http://t.co/TchEItScOI http://t.co/gZjNh0Vuz2"
"161","@Mitchdwhitaker hi mitch you can contact them at 1-800-733-2767 for assistance."
"162","Hey @fallontonight, want more #CPR lessons? Let us know! http://t.co/4FgOrlKS9u #CPRSavesLives"
"163","Do you know the rules of war? Today is the 150th anniversary of the 1st #GenevaConvention, take a look: http://t.co/NuFy9pCMZb"
"164","Headed #BackToSchool? Our #CollegeFreshmanAdvice will keep you prepared away from home: http://t.co/vxKPbby42N http://t.co/3CbU6j9G7R"
"165","@kkmac3 thanks for making a difference today Kaitlin! #ChooseYourDay"
"166","Learn more about the #ProtectOurVolunteers movement on this #WHD2014 and post your support! http://t.co/WVgdtcinRW"
"167","@dKalalves we've been working w/ @MeaslesRubella for a long time to reduce #measles deaths. You can learn more here: http://t.co/1TZN9NYNIN"
"168","330 children die from #measles every day. Learn more: today, 12:30 ET @measlesrubella convo #MDGMomentum #MDG4"
"169","4,000 #RedCrescent vols/staff are distributing food, water, relief items in #Iraq http://t.co/mKv6UT4VXf http://t.co/B3fM6UXT8u"
"170","Thank you! RT @PaulGAllen Your donations to this Red Cross link http://t.co/J36R4OX460  go directly to Ebola relief. Every gift helps."
"171","STORY: Some lifesavers wear crowns: http://t.co/vEqBBxe2pn Would you know what to do in an emergency? #CPR #firstaid"
"172","Able to donate #blood? Make an appointment! http://t.co/RzXX7atTTy. You bring yourself, we'll bring the snacks. https://t.co/sBArNPX4hE"
"173","@j_lanier hi justin can you DM us your email address so we can assist?"
"174",".@HawaiiRedCross is gearing up for #Iselle + #Julio. If you're in #Hawaii download the Hurricane App http://t.co/yfUfwmzd2Z"
"175","How partnering with @hotosm can help save lives in West Africa and beyond http://t.co/E5rLP43xaz #ebola http://t.co/zy7jPPcZuZ"
"176","In addition to these, what other steps should you take if a #wildfire is approaching? #Preparedness http://t.co/b7LOPZir4i"
"177","Whats your favorite summer song?  Tweet it using #MySummerSong and look for our summer playlist coming soon! http://t.co/g51sEpvq8n"
"178","Happy First Day of Summer! #ChooseYourDay to give blood and potentially save lives: http://t.co/JB1P2JqBGs http://t.co/wQCiWOSUa9"
"179","Did you know the World's Largest #Swim Lesson was today? Thank you to @TheWLSL for getting kids trained!"
"180","#SickleCell survivor Marquita Gaines shares what your blood donations mean to her: http://t.co/d6vFBUopjs  #WorldSickleCellDay"
"181","MT @neiaredcross: Our hearts go out to affected in #Pilger, NE. #RedCross volunteers responding. follow for updates. #newx"
"182","Thanks to everyone who donated blood today before the #USAvGhana game for helping us reach our GOAAALLLLLL of saving lives!"
"183","Recreating the #WorldCup with a little office soccer? Our #RedCross first aid app has you covered: http://t.co/YCTCl9wO2Y  #USAvGHA"
"184",".@Whitehouse initiative promotes new ideas &amp; innovation to build resiliency in communities after disasters: http://t.co/8Tw71dBh7x"
"185","#HappyFathersDay to all of the dads in our #RedCross family, today is your day, enjoy it! http://t.co/zkogAvvTen"
"186","#WorldBloodDonorDay is a great time to #givehope! #ChooseYourDay here: http://t.co/ximhZsjXi5 http://t.co/a7wivH22jn"
"187","Is your child taking #summer swmming lessons? Our new #swim app http://t.co/TRg6n3ydDK helps track progress &amp; more! http://t.co/AQf3v0AJsL"
"188","#Soccer: Universal + Global, just like #RedCross. Good luck to @ussoccer during the #WorldCup http://t.co/x3f8lTq4BB #USA"
"189","Get lifesaving disaster &amp; emergency info w/ @redcross apps, NOW available in #Spanish. http://t.co/SjzffFpWTy http://t.co/QwgiyAyUhz"
"190","Blood donation recipient @NikiTaylorInc visits @AMHQ with @SamChampion today at 9:40AM EST!  Tune in! http://t.co/kaPRmZXCOx"
"191","@FeliciaSueLynn thanks for including us and for your analysis of our social program!  Great work!"
"192","The kids are almost out of school, here's some tips to make sure they have a safe summer: http://t.co/hixUWpEX51"
"193","{BLOG] Going swimming with the family this #summer? Watch out for sharks in your pool:  http://t.co/XVumDNFJKj"
"194","#SelfieSaturday: Headed to #giveblood today? Take a #selfie with hashtag #ChooseYourDay &amp; say cheese! http://t.co/rnBOdMJ1Z2"
"195","[PHOTO] Red Cross workers land on the beach in France (1944) #DDay70 http://t.co/V6qEEEtlO8"
"196","#tbt swimming edition. To see if there are lessons in your area: http://t.co/rwKf2yTVCn http://t.co/HPwFeNETig"
"197","@jessickaaimee20 hi jessicka, have you contacted your local #RedCross chapter in your area?"
"198","@jasonenright hey jason you ARE a superhero!  Thanks for being a blood donor :)"
"199","@KelseyFireheart thanks kelsey!  We were so happy to be able to assist you when you needed us!"
"200","COMING SOON to a neighborhood near you: @RedCross BLOODMOBILES! http://t.co/JB1P2JqBGs #ChooseYourDay http://t.co/nx7wGLMZS1"
"201","@CeeScara send us a DM with your email address so we can assist."
"202","@NathanEmpsall can you send us a DM with your email address so we can check into this for you?"
"203","Know what to do if your area is expected to get #severe damaging winds today. Stay safe! http://t.co/UgI1gkkUpo"
"204","@MissCali2you sorry to hear that, can you send us a DM with your email address so we can connect with you to get your duplicate card?"
"205","#Hurricane season starts today, get prepared by separating the MYTHS from the FACTS #HurricanePrep http://t.co/jGN6ZVWXYa"
"206","Every 2 secs this summer someone will need a blood donation, #ChooseYourDay to help: http://t.co/ximhZsjXi5 http://t.co/7We4k9ykkr"
"207","A story honoring Grandpa's #WWII service this #MemorialDay http://t.co/jOuN9JYOkq - Thx to all #military members for your service"
"208","Headed to the pool this #MemorialDay weekend?  Here's a quick swimming lesson: http://t.co/FSUxoCyvZZ"
"209","SPOTTED: #NASCAR driver @gbiffle taking a quick pit stop @roushfenway to #giveblood today!  #ImProud2Give http://t.co/lo1nMSpD68"
"210","One year later: Oklahoma. Your support has done so much to help people recover. Thank you. http://t.co/jcCBw0T8v6"
"211","[ VIDEO} Our friends from @redcrossny offer tips on preparing for a #Godzilla attack: http://t.co/njxLhEE3Nu #FunFriday"
"212","You have 5 minutes to evacuate your home. What do you grab?  http://t.co/QMDWXYWMUv #wildfire #preparedness"
"213","@Taylormauri__ hi taylor, sorry to hear about this can you shoot us a DM letting you know which location you are referring to?"
"214","@JennLBeckwith @redCross helps w/Emergency Comms for Mil Fams to in these instances. Please call 8772727337 to start the process."
"215","We have FREE resources to help small business owners prepare for big disasters http://t.co/2jzl1inXM4 #SBW2014 http://t.co/BxJMOmCUcb"
"216","@DjWalt_ walt, please send them to socialmedia@redcross.org along with the proper way to list you on them.   Thanks again!"
"217","@tigga117 hi, we offer CNA trainings in florida, here is a link to find the locations: http://t.co/qa5RZSUBwU"
"218","Parents: What do you look for in a #sitter, #nanny or #aupair? http://t.co/4vmvWEvp24 http://t.co/5eP0y2qV1C"
"219","""I didn’t expect I would be the mother of a U.S. Navy officer"" - #military #MomConfessions on the Blog http://t.co/aNfdRdpAPP"
"220","In honor of #MilitarySpouseAppreciationDay here's a glimpse at life as a #milspouse http://t.co/lZkryCd0oP http://t.co/HCtuBAWZ0j"
"221","@northropgrumman: ""We’re a @RedCross Disaster Partner, helping bring comfort to disaster victims.""  &lt;--Thanks for your support!"
"222","#RedCross classes are available - RT @WSJ Babysitting becoming a hot summer job for teenage boys http://t.co/cdBM8Uex3p"
"223","Boys will boys..and babysitters, new data shows more boys getting babysitting jobs http://t.co/xeyo7aQS4G (via @todayshow)"
"224","SPOTTED: Stormtroopers and #DarthVader roll up their sleeves to #giveblood!  #MayThe4BeWithYou  (via @metrouk) http://t.co/Kb6uzjrorf"
"225","Recent tornadoes and floods have impacted 13 states, with your help we're there to assist: http://t.co/l3Wr6XODrq http://t.co/ombyyyBUnf"
"226","Via @WichitaRedCross - Barb is serving up lunch and hugs in #baxtersprings today.  http://t.co/gQWgbBiMOn"
"227","Volunteer David drove our relief truck to help @RedCrossMiss w/ relief efforts in Tupelo. via @telesara http://t.co/UQp3tYEchr"
"228","#Flood #Facts vs. Myths - know what's real. Get more info here: http://t.co/Hpco6XDU4C http://t.co/LJrYqvNWN0"
"229","Lots of #severeweather happening...make sure you're ready w/ the #tornado app http://t.co/aXWyIjtpsZ http://t.co/pCa0tcZRDh"
"230","Know the difference b/w #Warning and #Watch when talking about #tornado and #flood - be prepared! http://t.co/dJO9XtwMxp"
"231","MT @ArkRedCross #RedCross shelter opened at St. Joseph's Catholic Church, 1115 College Avenue, Conway, AR #arwx #ARtornado"
"232","MT @SEMORedCross storms = rain. What to do is in the palm of your hand. http://t.co/Hpco6XDU4C #flood #arwx #mowx #kswx #okwx"
"233","Phone calls to affected areas will be hard. Keep checking texts, social posts, or Safe and Well http://t.co/MS2Q727Smq"
"234","MT @ArkRedCross Use Safe Button on your #RedCross #Tornado app to let loved ones know you're ok."
"235","Possible severe #weather in your area? Know how to set alerts in your #tornado app - http://t.co/zZxeQeXzbu  #alert"
"236","Be #RedCross Ready for floods, tornadoes, earthquakes, &amp; more with our FREE apps: http://t.co/DDRP7BsYGu http://t.co/E4wWvgopBq"
"237","@LenzContact Marty thanks for again for being in the right place at the right time and doing something amazing!"
